PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,GAMBLING-BETTING/WAGERING,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INCEST WITH MINOR,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,TRUANCY - STREET WATCH,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,11,223,90,5,,,,,2,,,13,1,1,,,17,,,,,,,,1,,,2,,,,,,,3,3,1,3,3,,,1,,,,,,3,1,,1,10,,,,,1,,1,2,,1,,,1,5,8
SOUTH,11,227,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,11,228,44,,,,,,,,,8,,,,,7,,,,,,,,1,,,,,,,,,,2,2,,5,4,,1,,,1,,,,,,,2,4,,,,,1,,2,1,,,,,,1,2
SOUTH,11,233,38,1,,,,,1,,,10,,,,,4,,,,,,,1,2,,1,,,,,,,,1,1,,2,1,,,,,,,,,1,,,2,3,,,1,,1,,1,1,,1,1,,1,,
SOUTH,11,234,36,1,,1,,,1,,,8,,,,,2,,,,,1,1,,,,1,,,,,,,,1,,,4,1,,3,,,,,,,,,,,7,,,1,1,1,,1,,,,,,,,
SOUTH,11,238,22,1,,1,,,1,,,2,,,,,1,,,,,,,,,,1,,,1,,,,,,3,,2,,,,,,,,,,,,,,5,,,,,1,,,1,,,,,,1,1
SOUTH,11,243,37,2,,,,,7,,,1,,1,,,8,,,,,,,,,,,,,,,,,,1,2,1,,,1,,1,,,,,,1,,,,4,,,,,1,,1,,1,,,,,2,2
SOUTH,11,244,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,11,245,42,1,,2,,,2,,,6,1,,,,5,,1,,,,,,1,,1,,,,,,,,1,1,,2,,,1,,,,,,,,,,,6,,,1,,4,,1,1,,,,,,,4
SOUTH,11,246,20,1,,,,,1,,,2,,,,,2,,,,,,,,,,,,,1,,,,,1,,,3,,,1,1,,,,,1,,,,,2,,,,,1,,1,1,,,,,,,1
SOUTH,12,10,21,1,,1,1,,2,,,3,,,,,,,,,,,,,2,,,,,,1,,,,1,,,3,,,,1,,,,,,,,,3,,,,,,,,,1,,1,,,,,
SOUTH,12,11,37,1,,2,,,1,,,6,2,,,,1,,,,,1,,,2,,,,,,,,,,4,1,1,,3,,,,,,,,,,,,,6,,,,,4,,,1,,,,,,,1
SOUTH,12,12,18,,,,,,,,,5,,,,,,,,,,,,,,,,,,,1,,,,,2,,,1,,,,,,,,1,,,,,1,,,,,3,,2,,,,,,,1,1
SOUTH,12,2,56,2,,,,,1,,,4,,,,,7,,,,,,,1,2,,,2,,,,,,,3,2,,2,2,,,,,,,,,,1,,,16,,,,,4,,1,,,,,,2,,4
SOUTH,12,3,23,,,,,,,,,4,,,,,2,,1,,,,,,1,,,3,,,,,,,2,,,,1,,,,,1,,,,,,,,2,,,1,,1,,2,1,,,,,,1,
SOUTH,12,4,22,1,,,,,1,,,3,,,,,1,,,,,,,,2,,2,,,,,,,,,,,3,3,,1,,,,,,,,,,,2,,1,,,,,,1,,,,,,,1
SOUTH,12,6,9,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,5,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,
SOUTH,12,7,9,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,2,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
SOUTH,12,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,12,9,12,1,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,3,,,,,,,,,,,,,1,,,,,,,1,2,,,,,,,
