PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,ASSIST/PROMOTE PROSTITUTION,BAD CHECKS,BRIBERY,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INCEST WITH MINOR,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,TEST OFFENSE,THEFT FROM BUILDING,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,11,223,66,3,,2,1,,,,2,,,13,,,,,12,,,,,,,,2,,,6,1,,,,,4,,,4,2,,,,,,,,,1,,,1,6,,,,,,,1,1,,,1,1,,2
SOUTH,11,227,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,11,228,70,1,,1,,,,,,,,6,,,,2,12,,2,,,1,,,1,,1,10,1,,,,,3,8,,4,1,,,,,,,,,,1,,4,7,,,,,,1,,,,,,1,1,1
SOUTH,11,233,45,2,1,1,,,,,1,,,4,,,,,8,1,,,,,,,1,,1,,,,1,,,,1,,3,1,,,,,,,,,2,,,2,9,,,,,,,,,1,2,,1,,2
SOUTH,11,234,36,1,,,,,,,3,1,,6,1,,,,4,,,,,,,,,,,,1,2,,,,1,,,4,,,,1,,,,,,2,,,,4,,1,,,,,1,1,,1,,,,1
SOUTH,11,237,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
SOUTH,11,238,37,2,1,,,,,,2,,,1,1,,,,6,,,,,,,,,,2,,1,,,,,1,3,,1,1,,5,,,,,,,1,,,,5,,,,,,1,,,,,,,,3
SOUTH,11,243,38,2,,,,,,,3,,,8,,,,,2,,,,,,,1,2,,,,,,,,,,2,,5,1,,,,,,,,,,,,,8,,,,,,,,,,,,1,1,2
SOUTH,11,244,8,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,1,3,,,,,,,
SOUTH,11,245,35,2,,,,,,,,,,7,,,,,2,,,,,,,,2,,,1,,,,,,2,4,,3,1,,,,,,,,,2,,,,2,,,,,,,1,1,,,,,1,4
SOUTH,11,246,25,1,,,,,,,3,1,,3,,,,,3,,,,,,,,1,,,,,,,,,,,,2,2,,,,,,,,,1,,,,4,,,,,,1,,,1,,,,1,1
SOUTH,12,10,24,,,,,,,,5,,,1,,,,,2,,,,,,,1,,,,,,,,,,,1,,2,2,,,,,,,,,1,,,3,3,,,,1,,,1,,,,,,,1
SOUTH,12,11,22,2,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,2,,,,,,,,,,,6,,,,5,,,1,,,,,,,
SOUTH,12,12,8,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,1
