PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,ASSIST/PROMOTE PROSTITUTION,BAD CHECKS,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,TRUANCY - STREET WATCH,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,11,223,93,3,,1,1,,,8,,,17,,1,,1,5,,,,,,,1,3,,1,1,2,,1,,2,4,,8,4,,1,,,,,,,,,1,,1,12,,,,1,,1,,,,,,1,4,7
SOUTH,11,227,7,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,1,,,1
SOUTH,11,228,31,1,,,,,,,,,2,3,,,,2,,,,,,,,,,,1,,,,,,2,,4,1,,,,,,,,,,2,,,5,4,,,,1,,1,,,,,,,1,1
SOUTH,11,233,34,3,1,,,,,1,,,3,,,,,3,,,,,,,2,1,,,1,,2,,,2,1,,1,,,,,,,,,,,1,,,1,9,,,,,,,,,1,,,,,1
SOUTH,11,234,42,,,1,,,,3,,,3,1,,,,,,,,,,,,1,,,,1,,,,2,5,,6,,,,2,,,,,,,1,,,,10,1,1,,,,1,,,1,,,,1,1
SOUTH,11,237,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,
SOUTH,11,238,41,1,1,,,,,6,,,16,,,,,5,,,,,,,,2,,,,1,1,,,,2,,2,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,2
SOUTH,11,243,34,,,1,1,,,2,,,6,,,,,7,,,,,,,,,,2,,,,,,,,,3,1,,,1,,,,,,,,,,,5,,,,,,1,,,1,,,,1,2
SOUTH,11,244,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
SOUTH,11,245,46,2,,2,,,,2,,,16,1,,,,2,,,,,,,,1,,,,1,,,,2,,,2,,,,,,,,,,,,,,,9,,,,1,,,1,,,,,,,4
