PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,GAMBLING-BETTING/WAGERING,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,11,223,113,4,,1,,3,,,14,,1,,,17,,,,,,,,3,,1,8,,,,1,,2,6,1,4,2,,1,,,,,,,5,,,1,15,,2,,,,4,1,,,,,,16
SOUTH,11,227,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,11,228,74,2,,,,4,,1,7,,1,,,5,2,,,,,,,,,2,4,,2,,,,3,2,1,7,4,,1,,,,,,,2,,,3,15,,,,,,1,1,,,,,2,2
SOUTH,11,233,39,,,2,,1,,,7,1,,,,1,,,,,,,,,,2,,,,,,,,,,3,3,,,,,,,,,1,,,3,6,,,,,,,2,,1,,,3,3
SOUTH,11,234,55,,,,,5,,,12,,,,,5,,,,,1,,,1,,,1,,,,,,2,4,,4,3,,1,,,,,,,,,,,4,,,,,,5,,,,,1,3,3
SOUTH,11,237,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
SOUTH,11,238,32,,1,,,3,1,,3,,,,,4,,,,,,,,,,,,,,,,,1,2,,,1,,,,,,,,,2,,,,4,,,,,,1,2,,,2,,1,4
SOUTH,11,243,69,2,2,1,,9,,,10,,,,,5,,,,,,,,1,,,,,,,,,3,2,1,2,3,,,,,,,,,2,,,,11,,,,,2,1,,,,1,,,11
SOUTH,11,244,6,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,
SOUTH,11,245,56,3,,2,,6,,2,12,,,,,2,,,,,,,,,,,,,,,,1,2,1,,4,1,,1,,,,,,,,,,,10,,,,,1,1,,1,,,,,6
