PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SHOPLIFTING,SIMPLE ASSAULT,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,11,222,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SOUTH,11,223,80,3,1,1,,,4,,,12,,,,,7,,,,,,,1,,,,3,,,,,2,10,,3,2,,,,,,,,,,4,1,,11,,,,1,1,,,,2,,1,10
SOUTH,11,227,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,
SOUTH,11,228,57,2,,2,,,2,,,3,,,,,3,,,,,,,1,1,,1,2,,,1,,3,1,1,1,,,2,,,,,,,,,,12,8,,,,1,2,2,,,,,2,4
SOUTH,11,233,20,,,,,,1,,,3,,,,,,,,,,,,,,,1,1,,1,,,1,,,5,,,,,,,,,,,,,2,2,,,,1,,,,,,,1,1
SOUTH,11,234,33,1,,1,,,5,2,,6,,,,,1,,,,,,,1,,,,,1,1,,,,1,,5,1,,,,,1,,,,,1,,,3,,,,2,,,,,,,,
SOUTH,11,237,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
SOUTH,11,238,48,4,1,,,,1,,,9,,,,,1,,,,,,,1,,,,2,,,,,,1,,5,2,,,,,,,,,,2,,,9,,1,1,2,1,,,,,,,5
SOUTH,11,243,44,1,,,,,3,,,13,,,,,4,,,,,1,,,2,,,,,,,,2,2,1,3,1,,,,,,,,,,,,,3,,,,1,2,,1,,,,2,2
SOUTH,11,245,44,2,,1,,1,3,,,13,,1,,,,,,,,,,1,,,,1,,,,,4,4,,1,,,,,,,,,,,,1,,6,,,,,,1,,,,,1,3
SOUTH,11,246,31,,,,,,,,,11,,,,,,,,,,2,,,,,,,,,1,,1,1,,4,,,,,,,,,,,1,,,4,,1,,,2,1,,1,,,,1
SOUTH,12,10,16,,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,,1,,,1,2,,,,,,,,,,,1,2,2,,,,1,,1,,,,,,
SOUTH,12,11,17,1,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,1,,2,,1,,,,,,,,,,1,1,,2,,1,,,1,2,,,,,,1
SOUTH,12,12,7,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,1,,,,,,,,,
SOUTH,12,2,31,1,,,,,1,,1,2,1,,,,2,,2,,,,,1,,,1,,,,,,4,,,,4,,,,,,,,,,,1,,4,,,,1,,1,,,,1,2,1
SOUTH,12,3,24,,,,,,1,,,6,,,,,,,,,,,,,1,,,,,,,,2,,,3,1,,,,,,,,,,,,,2,,,,,4,2,,,,,2,
SOUTH,12,4,27,,,,,,,,,7,,,,1,1,,,,,,,,2,,,2,,,,,,,,1,6,,,,,,,,,,,,,,,,,1,4,2,,,,,,
SOUTH,12,6,24,,,,,,1,,,9,1,,,,,,,,,,,,,,,,,,,,2,,,2,2,,,,,,,,,,,1,,2,,,,,3,1,,,,,,
SOUTH,12,7,16,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,3,1,,,,,,,,,,,,,3,,,,1,5,,,,,,,
SOUTH,12,9,3,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,13,198,86,,,,,,,,,,1,,,,,,13,,,,,,8,,,2,,1,,,,,,7,1,,,2,,,,,,,,,47,1,,,,,2,,,,,,1,
SOUTH,13,199,63,1,,1,,,,,,3,,,,1,4,,,,,,1,4,4,,,7,1,1,,,2,,,5,3,,,,,1,,,1,,,,3,9,,,1,4,3,,,1,,,,2
SOUTH,13,200,38,1,,,,,4,,,3,,,,,4,,1,,,,,,2,,,,,,,,1,,,2,,,,,,1,,,,,,,,10,,,,2,1,3,,,,1,1,1
SOUTH,13,201,59,1,1,1,,,2,,,3,1,,,,,1,,,,,,2,1,,2,1,,,,,1,,,2,3,,,,,,,1,,,1,,2,16,,1,,6,3,1,,1,,2,2,1
SOUTH,13,202,22,,,,,,3,,,5,,,,,1,,,,,,,,1,,,1,,,,,,,,3,,,,,,1,,,,,,,,1,,,1,,2,1,,1,,,,1
SOUTH,13,203,7,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1
SOUTH,13,204,13,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,2,,,1,2,,,,,,,,,,,,,3,,,1,1,1,,,,,,,
SOUTH,13,205,17,,,,,,1,,,1,,,,,1,,,,,,,,1,,,,,,,1,,,1,1,2,,,,,1,,,1,,,,,4,,,,,1,,,,,1,,
SOUTH,13,206,14,,,,,,1,,,2,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,1,4,1,,,,,1,
