PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,11,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,11,222,4,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,11,223,69,2,,,2,,3,,,5,1,,,,5,,1,,,1,,1,3,,,5,,,,,2,7,,8,4,,,,,,,,,1,,,,10,,,1,,1,,,,,,,,2,4
SOUTH,11,227,4,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
SOUTH,11,228,63,2,,,,,2,,,7,,,,,5,,,,,,,,1,,,1,,,,,5,4,,7,4,,2,,,,1,,,1,,,3,8,,2,,,,,2,,,,,1,3,2
SOUTH,11,233,31,,,,,,,,,3,,,,,4,,,,,,,,2,,,,,,,1,1,,,2,2,,,,,,,,,,,,5,5,,1,,,,,1,1,,,,1,2,
SOUTH,11,234,36,5,,,,,,,2,4,1,,,,3,,,,,1,,1,,,1,,,,,,,2,,2,2,,1,,,,,,,,,1,,6,,1,,,,,,,,,,,,3
SOUTH,11,237,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
SOUTH,11,238,27,,,,,,2,1,,9,,,,,,,,,,1,,,,,,,,,,,2,,,1,1,,1,,,,,,,,,,,5,,,,,,,2,,,,,,,2
SOUTH,11,243,45,,,,1,,6,,1,6,,,,,6,,,,,,,,3,,1,,,,,,,1,,4,,,1,1,,1,,,,1,,,,4,,,,,,,2,1,,,,,3,2
SOUTH,11,244,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
SOUTH,11,245,21,,,,,,1,,,6,,,,,1,,,,,,,,2,,,,,,,,1,,,2,1,,,,,,,,,,,,,1,,,1,,1,,1,1,,,,,,2
SOUTH,11,246,12,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,1,1,,,,,,,,,,,,,3,,,,,,,1,,,,,,,2
SOUTH,12,-1,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
SOUTH,12,10,21,,,1,,,1,,,1,,,,,,,1,,,,,,1,,,1,,,,,2,,,3,3,,,,,,,,,,,,,2,,,,,,,2,1,,,,,2,
SOUTH,12,11,19,1,,1,,,1,,1,3,,,,,,,,,,,,,,,,,,,,,,1,,2,1,,,,,,,,,,,,,4,,,,,,,1,,,,,2,1,
SOUTH,12,12,9,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,3,,1,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,
SOUTH,12,2,30,,,,,,,,,1,,,,,4,,,,1,,,1,4,,,,,,,,1,,,4,4,,,,,,,,,,1,,,4,,,1,,2,,,,,,,,,2
SOUTH,12,3,23,2,,,,,,,,6,1,,,,2,,,,,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,3,,,,,,,3,,,,,,1,1
SOUTH,12,4,39,,,,,,,,,1,,,,,1,1,,,,,,3,2,,2,1,,1,,,1,,,3,3,,1,,1,,,,,2,,,5,7,,1,,,,,2,,,,,,,1
SOUTH,12,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,7,,,,,,,,,,,,,1,,,1,,,,1,1,,,,,2,
SOUTH,12,7,8,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,
SOUTH,12,9,9,,,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,2,,,,,,1,
SOUTH,13,198,61,,,,1,,,,,1,,,,1,2,,,,,,,1,3,,,,,,,,,,,13,9,,,1,,,,,,,1,,24,4,,,,,,,,,,,,,,
SOUTH,13,199,44,,,,1,,1,,,4,,,,,3,,,,,1,,,2,,,2,,,,,5,,,3,6,,1,1,,,,,,,,,,8,,2,,,1,,,,,2,,,1,
SOUTH,13,200,17,1,,1,,,,,,3,1,,,,2,,,,,,,,,,,,,,1,,,,,1,,,1,1,,1,,,,1,,,,2,,,1,,,,,,,,,,,
SOUTH,13,201,34,,,,,,1,,,,3,,,,,,,,,,,4,2,,,3,,,,,1,,,1,5,,,,,,1,,,,,,,2,,1,,,4,,,1,,,,2,3,
