PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,11,223,95,6,,,1,7,1,,12,,1,,,7,,,,,,,2,,2,5,1,1,,1,2,2,1,8,5,,1,1,,,,,,,1,,,,12,,1,1,,1,,1,,,,,,2,9
SOUTH,11,227,6,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
SOUTH,11,228,41,,,,,2,,1,4,1,,,,3,,,,,,,,,,2,,1,,,2,6,,3,2,,1,,,,,,,,,,,,9,,,,,,,1,1,,,,1,,1
SOUTH,11,233,28,1,,1,,,,,3,,,,,3,,,,,,,2,,1,1,,,,,,1,,5,,,,,,,,,,,1,,,3,3,,,,,1,,,,,,,,,2
SOUTH,11,234,46,2,,,,1,,,6,,,,,,,,,,,,,,,,,,,,5,9,,2,,,,,,1,,,,,,,,,13,,,,,1,,2,1,,,,,1,2
SOUTH,11,238,28,,,,,2,,1,3,,,,,1,,,,,,,,,,,,,,,2,,,3,3,,,,,,,1,,,,,,,6,,,,,1,,,,,,,1,,4
SOUTH,11,243,33,3,,1,,3,,,5,,,,,4,,,,,,,,,,,,,,,1,1,,3,2,,,,,1,,,,,,,,,5,,,,,,,1,,,,,1,1,1
SOUTH,11,244,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
SOUTH,11,245,36,3,,,,1,,,10,,,,,1,,,,,,,2,,,,,,,,1,1,,,1,,,,,,,,,,1,,,,5,,,,,2,,,1,,,,,1,6
SOUTH,11,246,15,1,,1,,,,,1,,,,,2,,1,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,2
SOUTH,12,10,24,,1,,,2,,,1,,,,,,,,,,,2,,,1,,,,,,1,,1,1,4,,,,,,,,,,1,,,1,5,,,,,1,,2,,,,,,,
SOUTH,12,11,24,,,1,,,,,3,,,,,1,,,,,,,,,,,,,,,2,1,,5,,,,1,,,,,,,1,1,,,5,,,,,,,,1,,,,,1,1
SOUTH,12,12,14,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,1,,,,,1,,,,1,,,,,,,2,,,,,,1,
SOUTH,12,2,41,1,,1,,1,,,3,1,,,,3,,,1,,,1,2,,,,,,,,4,,,6,4,,,,,1,,1,,,1,,,,7,,,1,,,,1,,,,,,1,
SOUTH,12,3,38,,,,,2,,,9,,,,,1,,,,,,,1,,,,,,,2,,,,6,2,,,,,,,,,,1,,,,4,,,,,,,6,,,,,,2,2
SOUTH,12,4,32,,,,,,,1,5,,,,,3,,,,,,,,,,,,,,,3,,,2,5,,,,,,,,,,,,,4,4,,,,,,,4,,,,,,1,
SOUTH,12,6,18,,,,,,,,3,,,,,,,,,,,,,,,,,,,,4,,,3,3,,1,,,,,,,,,,,,1,,,,,,,1,,,,1,,1,
SOUTH,12,7,11,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,1,,,,,,,2,,,,,1,,
SOUTH,12,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,2,,,,,,,,,,,,,,2,,,1,1,,,1,,,,,,,
SOUTH,13,198,69,,,,,,,,1,,,,,1,,1,,,,1,1,,,2,,,,,1,,1,7,5,,,1,,,,,4,,,,1,37,2,,,,,1,,1,,,,,,,1
SOUTH,13,199,39,,,,,1,,,4,,,,,2,,1,,,,1,,,,,,,,,1,,,9,3,,,,,1,,,,,,,,2,5,,,1,,2,,3,,,2,,,,1
SOUTH,13,200,29,2,,,,1,1,,2,1,,,,1,,,,,,,2,,,,,,,,1,,,8,1,,1,,,,,,,,1,1,,,,,,,,2,,,1,,,,,1,2
SOUTH,13,201,54,4,,1,1,1,,,5,,,,,1,,,,1,,,,,,3,,,,,2,,,8,5,,1,,,,,,,,,,,1,7,,,,,3,,6,1,,1,,,1,1
SOUTH,13,202,16,1,,1,,,,,6,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,1,
SOUTH,13,203,19,1,,,,2,,,5,,,,,,,,,,,,,,,,,,,,3,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SOUTH,13,204,23,2,,,,,,,2,3,,,,,,,,,,,3,,1,,,1,,,3,,,1,1,,,,,,,,,1,,,,,2,,,1,,,,,1,,,,,,1
SOUTH,13,205,9,,,,,,,1,2,1,,,,,,,,,,,2,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,13,206,17,2,,,,,,,1,,,,,1,,,,,,,1,,,,,,1,,,,,2,1,,,,,,,,,,1,,,,2,,1,,,,,1,,,1,,,1,1
SOUTH,13,207,9,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,2,,,,1,,,1,,,,,,1,
SOUTH,13,208,9,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,1,,,1,1,,,,,,
SOUTH,13,209,9,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,
SOUTH,13,210,9,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
SOUTH,13,211,10,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,1,1,,2,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1
SOUTH,13,212,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,13,213,36,1,1,,,,,,6,,,,,1,,,,1,,,,,,1,,,,,1,1,,2,3,,,,,,,,,,,,,,8,,,,,1,,3,,,,,3,,3
SOUTH,13,214,18,,,,,,,,7,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,1,,,,1,,,,3,,,,,,,,1,,,,,,2
SOUTH,13,215,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
SOUTH,13,216,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,
SOUTH,13,217,12,,,,,3,,,1,1,,,,1,,,,,,,,,,1,,,,,1,,,1,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
SOUTH,13,218,30,1,,1,1,1,,1,5,,,,,,,,,,,,,,,,,,,,4,2,,1,1,,,,,,,,,,1,,,,7,,,,,,,,,,,,1,,3
