PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD - WELFARE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,LOITERING,MISSING PERSON,NEGLECT CHILD,NEGLIGENT MANSLAUGHTER,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,POCKET PICKING,PROSTITUTION,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,11,222,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
SOUTH,11,223,68,2,,,,,7,,,8,1,1,,,11,,,,,,,,,,1,3,,,,,2,1,,5,3,,,,,,,,,,2,,1,,11,,,,,,,2,,,,,,2,5
SOUTH,11,227,4,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,11,228,53,2,,2,,,3,1,,7,,,,,5,,,,,,,2,,,2,3,,,1,,1,1,,2,2,,,,,,,,,,,,,1,9,,,,,1,,1,,1,,,,2,4
SOUTH,11,233,38,,,,,,2,,1,5,,,,,3,,,,,,1,1,,,1,3,,,,,,1,,4,1,,,,1,,,,,,,,,1,7,,,,,,,,1,,,,,3,2
SOUTH,11,234,45,3,,1,,1,3,,,9,,,,,2,,,,,,,1,,,1,,,,1,1,,2,,2,1,,,,,,,,,1,,1,,,6,,,,,,,1,,,,,,4,4
SOUTH,11,237,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
SOUTH,11,238,40,1,,,,,4,,,6,,,,,11,,,,,,,1,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,8,,,,,1,,1,,,,,1,1,2
SOUTH,11,243,26,1,,1,1,,5,,1,3,,,,,3,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,4,,,,,1,,1,,,,,1,,1
SOUTH,11,244,9,1,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SOUTH,11,245,43,2,,1,,,5,,,12,,,,,4,,,,,,,1,,,,2,,,,,2,,,3,,,,,,,,,,,,,,,7,,,,,,,,,,1,,,1,2
SOUTH,11,246,21,1,,1,,,1,,1,2,,,,,3,,,,,,,,,,,,,,,,1,2,,2,1,,,,1,,,,,,,,,,1,,1,,,,,,1,,,,,,2
SOUTH,12,10,30,,,1,,,3,,,6,,,,,,,,,,,1,,,,,2,,,,,,,,1,2,,,,,,,,,,,1,,,3,,,,,1,,3,4,,,,,1,1
SOUTH,12,11,21,,,,,,,,,7,,,,,1,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,4,,,,,1,,2,1,,,,,2,
SOUTH,12,12,11,,,,,,,,,1,,,,,2,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,2,1,,,,,1,,,,,,,,,
SOUTH,12,2,50,,,,,,,,,8,,,,,4,,,,,,,1,,,1,1,,2,,,5,3,,4,4,,,,,,,,,,,,,,13,,,,,1,,1,1,,,,,1,
SOUTH,12,3,32,1,,,,,,,,11,,,,,2,,,,,,,,,,1,,,,,,1,3,,1,1,,,,,,,,,,,1,,,5,,,,,,,5,,,,,,,
SOUTH,12,4,25,1,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,1,,,4,5,,,,1,,,,,,1,,,,2,,,,,,,3,2,,,,,1,1
SOUTH,12,6,24,,,1,,,2,,,5,,,,,1,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,1,,,,,2,,2,1,,,,,3,
SOUTH,12,7,13,,,,,,3,,,2,,,,,1,,,,,,,,,,,,,,,,2,1,,1,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
SOUTH,12,9,6,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,
SOUTH,13,198,62,,,,,,,,,3,,,,1,3,,1,,,,,,,,,2,1,,,,2,,,10,5,,,,1,,,,,7,1,,,17,5,,,,,2,,,,,,,,,1
SOUTH,13,199,56,2,,,1,,,,,4,,,,2,6,,,,,,2,2,,,,4,,,,,1,2,,3,3,,,,,,1,,,1,,,,3,10,,,,,4,,2,1,,,,1,,1
SOUTH,13,200,18,,,1,,,2,,,1,2,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,3,,,1,,,,3,,,,,,,,,,,,,1,
SOUTH,13,201,64,1,,,,,1,1,,7,,1,,,1,,1,,,,6,8,,,2,1,,1,,,,1,,2,3,,,,,,,,,,,,,,12,,,,,3,,4,1,,1,,,4,2
SOUTH,13,202,19,,,,,,1,,,8,,,,,,,,,,,1,1,,,,,,,,1,,,,2,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,1
SOUTH,13,203,25,,,,,,3,,,7,,,,,3,,,1,,,,,,,,,,,,,2,,,1,,,,,1,,,,,,,,,,3,,1,,,,,,,,,1,,2,
SOUTH,13,204,28,,,1,,,,,,4,1,,,,5,,,,,,,,,,,,,,,,,,,2,1,,,,,,,1,,,,,,,5,,,1,,2,,,,,,,1,1,3
SOUTH,13,205,29,,,,,,,,,5,,,,,6,,,,,,,2,,,,,,,,,3,1,,2,1,,,,,,,,,,,,,2,1,,,,,,,1,2,,,,,2,1
SOUTH,13,206,20,1,,,1,,5,,,3,,,,,,,,,,,,,,,,,,,,,2,1,,2,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,1
SOUTH,13,207,12,,,,,,1,,,2,,,,,2,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,1,,1,,,1,,,,,1,
SOUTH,13,208,13,,,,,,2,,,2,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,,,,,,,2,,,,,,1,
SOUTH,13,209,7,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,1
SOUTH,13,210,11,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,1,,,,1,,,,,1,,,1,,,,,1,1
SOUTH,13,211,5,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,
SOUTH,13,212,2,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,13,213,40,,,,,,4,,2,10,,,,,2,,,,,,,,,,,,,,,1,,,,1,3,,,,1,,,,,,1,,,,7,,,,,1,,3,,,,1,1,2,
SOUTH,13,214,16,,,,,,,,,2,,,,,3,,1,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,4,,,,,,,,,,,,1,1,1
SOUTH,13,215,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,13,216,11,1,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,1,,,2,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,
SOUTH,13,217,19,1,,,,,1,,,4,1,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,2,,,,2,,,,,,,1,,,,,,,3
SOUTH,13,218,22,,,,1,,2,1,,3,,,,,5,,,,,,,,,,,,,,,,1,,,1,2,,,,,,,,,,,,,,3,,,1,,,,,,,,1,,,1
SOUTH,13,219,38,,,,,,5,,,10,,,,,5,,,,,,1,1,,,,,,,,,,2,,1,,,,,,,,,,,,,,,9,,,,,1,,,,,,,,2,1
SOUTH,13,220,20,,,,,,3,,,3,1,,,,3,,,,,,,,,,,,,,,,1,,,2,1,,,,,,,,,,,,,,2,,1,,,,,,,,,,,1,2
SOUTH,14,224,48,1,,,,,2,2,,5,,,,,2,,,,,,,1,,,,2,,1,,,7,,,2,1,,,,,,,,,,,,,,16,,,,,1,,,,,,,,,5
SOUTH,14,225,53,4,1,,,,1,,,9,,,,,7,,,,,,,,,,2,,,1,,,2,,,2,2,,,,,,,1,,,1,,,,9,,,,,4,,1,,,,,1,1,4
SOUTH,14,226,25,1,,,,,4,,,3,1,,,,1,,,,,,,,,,2,,,,,,,,,2,1,,,1,,,,,,,,,,,5,,,,,,,,1,,,,,,3
SOUTH,14,229,45,4,,,,,,,,6,,,,,5,,,,,,,,,,,,,,,,,4,,7,,,,,1,,,,,,2,,,,7,,,,,1,,1,1,,,,1,,5
SOUTH,14,230,49,1,,,,,4,,,11,,,,,2,,,,,,,,,,,,,,,,1,,,4,2,,,,,,,,,,,,,,9,,,1,,4,,,2,,,,,3,5
SOUTH,14,231,79,5,,1,,,3,,,10,,,,,11,,,,,,,1,,,1,1,,1,1,,3,2,,6,4,,,,1,,,,,,3,1,,,7,1,,1,,1,,,,,,,,3,11
SOUTH,14,232,30,1,,,,,1,,,1,1,,,,1,,,,,,,,,,,6,,,,,,1,,4,2,,,,,,,,,,2,1,,,5,,,,,2,,,,,,,,,2
SOUTH,14,235,39,,,1,,,1,,1,5,,,,,3,,,,,,,,,,,,,,,,3,1,,4,1,,,,,,,,,,1,,,,8,,,1,,1,,,1,,1,1,,1,4
SOUTH,14,236,58,7,,1,,,3,,,7,,,,,2,,,,,,,2,,,2,1,,,1,1,1,,,3,4,,,,,,,,,,1,1,,,11,,,,,,,1,,,,,,2,7
SOUTH,14,239,44,2,,1,,,4,,,4,1,,,,2,,,,,,,3,,,,,,,,,1,3,,3,2,,,,,,,,,,,,,,10,,,,1,1,,1,2,,,,,1,2
SOUTH,14,240,13,2,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,1,,,1,,,,,,,,,,,1
SOUTH,14,241,14,,,,,,2,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,2,,,,,,,1,1,,,,,1,1
SOUTH,14,242,37,,,2,,,5,,,6,1,,,,2,,,,,,,3,,,,,,1,,,,2,,4,2,,,,,,,,,,,,,,4,,,,,1,,,,,1,,,1,2
SOUTH,14,247,42,1,,,,,3,,,18,,,,,4,,,,,,,,,,,,1,1,,,1,2,,1,,,,,,,,,,,,,,,1,,,,2,1,,3,,,,,,1,2
SOUTH,14,248,59,,,2,,,6,1,,7,1,,,,3,,,,,,,2,,,,,,,,,6,,,4,1,,,,1,,,,,,,1,,,13,,2,1,,3,,,,,,,,2,3
CENTRAL,21,13,13,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,3,,,,,2,,1,,,,,,,
CENTRAL,21,14,24,1,,,,,1,,,4,,1,,,,,,,,,,1,,,1,,,,,,1,,,3,2,,,,,,,1,,,,,,,4,,,,1,,,,2,,,,,,1
CENTRAL,21,15,12,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,1,,3,1,,,,,,
CENTRAL,21,16,13,,,,,,2,,,1,,,,,2,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,1
