PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,POCKET PICKING,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEH RECOVERY(OUT OF JURIS),VEHICLE THEFT,WEAPON OFFENSE
SOUTH,11,222,10,2,,,,,,,1,,,,,1,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,
SOUTH,11,223,59,2,,,1,4,,,12,1,,1,,8,,,,1,,,1,,,,,,,1,1,2,1,4,5,,,,,,,1,,,,4,,,,1,,,1,1,,,,,,2,4
SOUTH,11,227,12,,,,,,,1,,1,,,,2,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,1,,,1
SOUTH,11,228,55,,,1,,3,,2,2,2,,,1,5,,1,,,,,1,,1,,,,,,1,5,,8,2,,,,,,,,,,3,11,,,,,,,1,1,,1,,,,3,
SOUTH,11,233,26,1,,,1,1,,,2,,,,,1,,,,1,,,,,1,,,,,,2,,,3,1,,,,,,1,1,,,3,4,,,,,,,1,,,1,,,,1,
SOUTH,11,234,49,2,,,,1,,2,8,,,,,5,,,,,,,,,,1,,,,,3,4,,6,,,,,1,,,,2,,,10,,,,,,,,1,,,,,,2,1
SOUTH,11,237,4,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
SOUTH,11,238,42,1,,,,,3,,6,,,,,2,,,,,,,,,,1,,1,,,1,1,,2,,,,,,,,4,,,,11,,,,,1,,2,,,,,,2,1,3
SOUTH,11,243,61,4,,,,9,,2,8,,,,,5,,,,1,,,,,,,,,,,2,1,,2,,,,,,2,,1,,,,8,,,,,,,3,,,1,,,1,1,10
SOUTH,11,244,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
