PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BRIBERY,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,11,222,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,1
SOUTH,11,223,101,7,,1,,,,3,,3,20,1,1,,,5,,,,,,1,2,1,,,2,1,,,,3,2,1,5,3,,,1,,1,,,,3,1,,1,18,,1,,,1,,,,,,,1,11
SOUTH,11,227,9,,,,,,,1,,,1,,,,,2,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,1,,,,
SOUTH,11,228,34,1,,,,,,7,,,1,,,,,2,,,,,,,,,,,1,,,1,,,5,1,1,,,,1,,1,,,,,,,,7,,,,,,1,1,,,,,1,2
SOUTH,11,233,37,2,,,,,,,,,4,,,,,5,,,,,,,,1,,,,,1,,,2,2,,2,1,,,1,,,,,,,1,,5,4,,,,,,2,,,,,,,4
SOUTH,11,234,38,1,,,,,,3,,,4,,,,,2,,,,,,1,1,1,,1,,,,,,,,,4,2,,,,,,,,,1,,,,11,,,,,,3,,,1,,,,2
SOUTH,11,237,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
SOUTH,11,238,31,,,1,,,,2,,,3,,,,,3,,,,,,,,,,1,1,,,,,2,1,,1,,,,,,,,,,,,,,7,,1,,1,1,1,,,,,,4,1
SOUTH,11,243,42,4,,2,1,,,2,,,5,,,,,4,,,,,,,,,,1,,,,,,1,1,,,2,,,,,,,,,1,1,,,7,,1,,,,1,,,,,,1,7
SOUTH,11,245,24,,,,,,,2,,,3,,,,,,,,,,,,,,,,1,,,,,3,2,,2,1,,,,,,,,,1,,,,6,,,,,,,,,,,,1,2
SOUTH,11,246,20,2,,,,,1,1,,,4,,,,,4,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,1,2
SOUTH,12,-1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
SOUTH,12,10,25,,,,,,,,,1,2,1,,,,,,,,,,,1,2,,1,,,,,,,,,3,3,,,,,,,,,,,,2,2,,,,,,3,1,,1,,,1,1
SOUTH,12,11,23,,,,,,,1,,,3,,,,,1,,,,,,,,,,,,,,,,3,2,,2,3,,,1,,,,,,,,,,3,,,1,,,,2,,,,,1,
SOUTH,12,12,14,,,,,1,,,,,2,,,,,,,1,,,,,1,,,1,,,,,,,1,,1,2,,,,,,,,1,,,,,3,,,,,,,,,,,,,
SOUTH,12,2,40,3,1,1,,,,,,1,8,1,,,,1,,1,,1,,,,,,1,1,,,,,6,,,1,3,,,,,,,,,,,,,5,,,1,,,,,,,,,1,3
SOUTH,12,3,25,1,,2,,,,1,,,2,1,,,,,,,,,,,,2,,,,,,,,,,,3,2,,,,,,,,,,,,,5,,,,,,2,,,,,,3,1
SOUTH,12,4,34,1,,,,,,,,,7,,,,,,,1,,,,,1,,,,,,,,,1,,,2,4,,1,,,,,,,1,,,1,3,,,,,1,8,,,,,,2,
SOUTH,12,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
SOUTH,12,6,26,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,10,,,,,,,,,,,,,7,,,,,,1,,,,,,4,
SOUTH,12,7,10,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,1,2,,,,,1,
SOUTH,12,9,6,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,
SOUTH,13,198,79,,,2,,,,1,,,2,,,,,3,,3,,,,,1,5,,6,1,1,,,,1,,,17,4,,,,,,,,,,,,26,2,,,,,,1,1,,,,1,,1
SOUTH,13,199,28,,,,,,,1,,,2,,,1,,,,,,,,,,2,,,2,,,,,,1,,4,6,,,,,,,,,1,,,,3,,,,,2,2,,,,,,,1
SOUTH,13,200,22,,,,,,,,,,1,,,,,4,,,,,,,,,,1,1,,,,,1,,,4,1,,,,,1,,,,1,,,,5,,,,,,1,,,,,,,1
SOUTH,13,201,58,,,,,,,1,1,,7,,,,,1,,,,,,,1,,,1,1,1,,,,2,,,6,5,,1,,,,,1,,,,,1,7,,,,1,5,9,1,,,,1,3,1
SOUTH,13,202,17,,,,,,,1,,,7,1,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,3,,,,,,,1
SOUTH,13,203,15,1,,,,,,1,,,7,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1
SOUTH,13,204,17,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,1,2,,,,,,,,,1,,,,3,,,,1,,2,,,,,,2,1
SOUTH,13,205,29,,,,,,,,,1,5,,,,,1,,,,,,,1,1,,1,,,,,,1,,,3,2,,,1,,,,,,1,,,3,5,,,,,,2,,,,,,,1
SOUTH,13,206,23,,,,,,,,,,5,,,,,1,,,,,,,1,,,1,,,,,,1,,,1,,,,,,,,,,,,,,1,,1,,1,,2,,1,,,3,1,3
SOUTH,13,207,13,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,3,,4,,,,,,1,
SOUTH,13,208,26,,,,,,,1,,,2,1,,,,1,,,,,,,,,,,,,,,,1,1,,1,1,,1,,,,,1,,,,,,1,,,2,5,,5,,,,,1,,1
SOUTH,13,209,12,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,2,,,,1,,,,,,1,,,2,,,,,,,,,,,,,,2
SOUTH,13,210,5,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,
SOUTH,13,211,10,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,2,,,,1,,,,
SOUTH,13,212,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
SOUTH,13,213,47,,,2,,,,8,,1,8,,,,,,,,,,,,,1,,,1,,,,,1,,,4,2,,,1,,,,,,,,,,14,,1,,,,1,,,,,,1,1
SOUTH,13,214,18,1,,,,,,1,,,5,1,,,,1,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,1,,1,,,,,,,,,,1,,,,3,
SOUTH,13,216,8,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1,1
SOUTH,13,217,16,,,1,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,4,,,,,,3,,,,,,,1
