PRECINCT,BEAT,RA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAGS-IMPROPER DISPLAY OF,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,11,222,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,11,223,103,4,,1,,4,,,7,,,,,5,,,,,,,1,,1,23,,,,,2,,1,7,3,,,3,,,,,,,,,1,25,,,,,,5,1,,,1,,1,1,6
SOUTH,11,227,4,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
SOUTH,11,228,57,2,,1,,1,,,7,,,,,5,,,,,,,,,,4,,,,,2,4,,3,1,,,1,,,,,,2,,,4,10,,,,,1,3,,,,,,2,2,2
SOUTH,11,233,43,2,,,1,,,,4,,,,,1,,,,1,,,1,,,3,,,,,4,6,,1,1,,,2,,,,,,1,,,2,5,,,,,,2,1,,,1,,,2,2
SOUTH,11,234,39,1,1,,,3,1,,5,1,,,,1,,,,,,,3,,,,,,,,3,2,,1,,,1,,,1,,,,,,,,5,,,,,,,1,,,2,,,3,4
SOUTH,11,237,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
SOUTH,11,238,39,1,,,,,,,3,,,,,9,,1,,,,,1,,,1,,,,,,1,,2,2,1,1,1,,,,,,1,,,,6,,,,,,1,1,,,1,,,1,4
SOUTH,11,243,77,4,,1,1,20,,,10,,,,,6,,,,1,,,,,,,,,1,,1,,,4,1,,,,,,,,,2,,,,12,,1,,,,,,,,1,,,1,10
SOUTH,11,244,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
SOUTH,11,245,50,2,,,,2,,,12,,,,,,,,,1,,,2,,,1,,,,,4,,,3,1,,,2,,,,,,,,,,7,,,1,,,2,1,,,1,,,2,6
SOUTH,11,246,39,4,,1,,1,,,5,,,,,4,,,,,,,1,,,,,,,,1,1,,,1,,,,,,,,,3,,,,6,,,,,,1,1,1,,,,,,8
SOUTH,12,10,21,,,,,,,,7,,,,,2,,,,,,,,,,,,,,,1,,,2,1,,,,,,,,,,,,2,2,,,,,1,,1,1,,,,,,1
SOUTH,12,11,20,,,,,3,,,3,,,,,,,,,,,1,2,,,,,,,,1,,,2,1,,,,,,,,,1,,,,3,,,,,,,1,,,,,,,2
SOUTH,12,12,25,1,,,,1,,,2,,,,,1,,,,,1,,,,,1,,,,1,1,4,,1,1,,,,,,,,,,,,,4,,,,,1,1,3,,,,,,,1
SOUTH,12,2,34,1,,2,,,,,,3,,,,4,,,,,,1,,,,1,,,,,,,2,2,3,,,,,,,,,,,,,9,,,1,,,2,,1,,1,,,,1
SOUTH,12,250,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,12,3,15,1,,,,1,,,1,,,,,2,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,3,,,1,,,,3,,,,,,,1
SOUTH,12,4,24,,,,,,,,2,,,,,2,,,,,,1,1,,,,,,,,2,,,1,5,,1,,,,,,,,,,2,4,,,,,,,,1,,,,,1,1
SOUTH,12,6,37,,,,,1,,,6,,,,1,1,,,,,,1,,,,,,,,,1,,,4,4,,,,,,,,,,,,,1,,,,,,,8,2,,,,1,6,
SOUTH,12,7,17,,,,,1,,,3,,,,,,,,,,,,,,1,,,,,,,,,4,3,,,,,,,,,,,,,4,,,,,,,,,,,,,,1
SOUTH,12,9,22,,,,,3,,,1,,,,,,,,,,,,1,,,,,,,,,,,2,5,,,,,,,,,,,,,1,,,,,1,,3,2,,,,1,2,
SOUTH,13,198,52,2,,,,1,,,3,,,,,,,1,,,,,1,,,2,,,,1,3,,,5,3,,,1,,,,1,,,,,22,3,,,,,,1,2,,,,,,,
SOUTH,13,199,59,,,,,3,,,1,1,,,,,,,,,,2,1,,,19,,,,,3,2,,7,2,,,,,1,,,,,,,2,3,,,1,,1,4,4,1,,,,,1,
SOUTH,13,200,26,,,1,,,1,,2,,,,,2,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,2,,,,8,,,,,,3,2,,,,,1,2,
SOUTH,13,201,40,,,1,,1,,,2,,,,,4,,,,,,1,,,1,1,,,,,2,1,,2,4,,,,,,,1,,1,,,,9,,,1,,,3,,2,,,,,1,2
SOUTH,13,202,11,,,,,2,,1,,1,,,,,,,,,,1,2,,,,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
SOUTH,13,203,11,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,1,,,,4,,,,,,,,,,,,1,,
SOUTH,13,204,23,1,,2,,2,,,4,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,1,,,,3,,,,,,,1,,,,,,1,4
