PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BRIBERY,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,11,222,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,11,223,72,4,,1,,,,3,,,10,,,,,14,,,,1,,,,,,1,,,1,,,,,5,1,,,,,1,,,,,1,2,,1,16,,,,,2,,1,,1,,,,,6
SOUTH,11,227,4,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,11,228,57,2,,,,,,2,,,4,,,,,4,,,,,,1,1,,,3,2,,,,,3,,5,5,,,,,,,,,,5,,,3,6,,,,,,,1,1,,,,1,,8
SOUTH,11,233,28,,,,1,,,2,,,5,,,,,1,,,,1,,1,,,,1,,,,,2,1,,1,,,,1,,,,,,,,,,3,5,,,,,1,,,,,,,,1,1
SOUTH,11,234,42,,,,,,,2,,,9,,,,,5,,,,,,,,,,,,,,,3,2,,7,,1,,,,,,,,,1,,,,4,,,,,2,,,,,,1,,2,3
SOUTH,11,237,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
SOUTH,11,238,38,2,,,,,,4,,1,1,1,,,,7,,,,,,,,,,,,1,,,,3,,3,1,,2,1,,,,,,,2,,,,4,,,,1,,,,,,,,,3,1
SOUTH,11,243,39,2,,,,,,4,1,,9,,,,,1,,,,,,,,,,,,,,,3,,,2,,,,,,,,,,,3,,,,5,,,,,,,1,1,,,,,,7
SOUTH,11,245,39,2,,,,,,3,,,8,1,,,,2,,,,,,,,,,,,,,,2,,1,3,1,,,,,,,,,,,,1,,6,,,,,,,1,,,,,,1,7
SOUTH,11,246,22,,,,,,,1,,,4,,,,,1,,,,,,,,,,1,,,,,1,,,2,,,,,,,,,,,1,,,,6,,,,,1,,2,1,,,,,,1
SOUTH,12,10,27,,,1,,,,2,,,2,,,,,,,,,,,1,,,1,,,,,,2,,,1,4,,,,,,,,,,,,,2,3,,,,2,1,,3,1,,,,,,1
SOUTH,12,11,15,,,1,,,,,,,2,,,,,1,,,,1,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,1,1,,1,1,,,,,,2
