PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SHOPLIFTING,SIMPLE ASSAULT,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEH RECOVERY(OUT OF JURIS),VEHICLE THEFT,WEAPON OFFENSE
SOUTH,11,222,12,1,,,,,,1,,,,,,1,,,,2,,1,,,,,,,,,,,,2,,,,,,,,,,,1,1,1,,,,,,,,,,,,,1
SOUTH,11,223,89,10,,1,,,6,,1,9,2,,,9,1,,,,,,2,,,2,,,,,4,2,,3,6,,,,,,,,,1,,,14,,,,1,,2,,1,,1,1,,10
SOUTH,11,227,9,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,1,,,,,,,1,1
SOUTH,11,228,58,3,,,,,7,,1,9,,,,2,,,,,,,1,,,2,,,,,1,2,,6,3,,1,,,,,,,,,3,6,,,,,4,,,2,,,1,,4
SOUTH,11,233,27,1,,,,,1,,,3,,,,4,,,,,,,,,1,,1,,,,,1,,2,,,,1,,,,,,,,3,6,,,,,,,,,,,,,3
SOUTH,11,234,48,1,,,,,1,,,7,1,,,3,,,,,,,,,1,,,,,,2,,,9,,,,,,,,,,1,1,,12,,,1,1,1,1,,,,2,,1,2
SOUTH,11,237,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
SOUTH,11,238,33,2,,,,,2,,,7,,,,2,,,,,,,,,,1,,,,,,,,1,4,2,,,,,,,,,,1,3,,,,,1,1,,,,,4,,2
SOUTH,11,243,42,1,,,,,5,,,5,,,,2,,,,,,,,,,,,,,,2,2,,,1,,,,,,,,,1,,,15,,,,,,,,1,,,3,1,3
SOUTH,11,244,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,
SOUTH,11,245,32,,,,,,3,1,,4,,,1,2,,,,,,,,,,,,,,,1,,,3,3,,1,,,,,,,,,,4,,1,,,,1,,,,,4,1,2
SOUTH,11,246,19,1,,,,,2,,3,,1,,,1,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,2,1,1,,,,,,1,,,1,1,1
SOUTH,11,251,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,12,10,18,1,,,,,1,,,4,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,2,2,,,,1,2,,,,,,1,1,
SOUTH,12,11,25,1,,,,,2,,,3,,,,1,,,,,,,2,,,,,,,,2,,,1,1,,,,1,,,,,,1,,7,,,,,,,,1,,1,1,,
SOUTH,12,12,15,,,,,,,,2,2,,,,1,,,,,,,,,,,,,,,,1,,3,1,,,,,,,,,,,,3,,,1,,1,,,,,,,,
SOUTH,12,2,32,,2,,,,,1,2,5,,,,3,,,,,,,,,3,,,,,,2,1,,2,1,,,,,,,,,,,,6,,,,1,1,1,,,,,,,1
SOUTH,12,250,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,12,3,32,,,1,,,1,,,4,,,,,,,,,,,,,,,,,,,2,,,4,1,,,,,,,,,,,,4,,1,3,1,5,2,,,,,,2,1
SOUTH,12,4,34,1,,,,,,,1,1,,,,1,,,,,,,2,,,1,,,,,3,,,2,6,,,,,,,,,1,,2,8,,,,1,,2,,,,,,2,
SOUTH,12,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,1,,,,,2,2,,,,,,2,
SOUTH,12,7,12,,,,,,1,,,2,1,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,4,
SOUTH,12,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,12,9,13,,,,,,1,,,3,1,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,5,,,,,,,,
SOUTH,13,198,55,1,,,,,,,,2,,,,2,,,,,,,2,1,2,4,,,,,1,,,10,5,,,,1,,,,,,1,18,1,,,,,1,,,,,,,1,2
SOUTH,13,199,29,,,,,,,,,2,,,,2,,1,,,,2,,,1,1,,,,,1,,,5,2,,,,,,,,,,,3,5,,,,,1,2,,,,,,,1
SOUTH,13,200,19,1,,1,,,2,1,,2,,,,1,,,,1,,,,,,,,,,,2,1,,2,1,,,,1,,,,,,,,3,,,,,,,,,,,,,
SOUTH,13,201,57,,,,,1,1,,,4,,,,3,,,,,,7,2,,1,1,,,,,3,2,,7,3,1,,,,,,,,2,1,1,7,,1,,,4,,,,,,,3,2
SOUTH,13,202,10,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
SOUTH,13,203,19,1,,1,,,,,,1,,,,1,,,,,,,,,,1,,,,,1,1,,2,4,,,,,,,,,,,,1,,,1,,,,,,,1,,1,2
SOUTH,13,204,27,1,,1,,,1,,,4,2,,,,,,,,,,,,1,1,,1,,,2,,,2,1,,,,,,,,,,,,4,,,,,2,2,,,,,,,2
SOUTH,13,205,15,1,,,,,1,,,4,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,3,,,3,,,,,,,,,1,
SOUTH,13,206,12,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,2,,,1,,,,,1,1,1
SOUTH,13,207,13,,,,,,,1,,1,1,,,2,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,1,3
SOUTH,13,208,13,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,1,,1,2,,,,,1,1,,,,,,1,1
SOUTH,13,209,14,1,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,1,,1,,,,,,,,,,,,1,3,2
SOUTH,13,210,14,,,,,,2,,,,,,,2,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,3,1,,,,,,1,1
SOUTH,13,211,14,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,2,,,,1,,1,,,,,,,,,3,1,1,,,1,,,,,,,1,1
SOUTH,13,212,9,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,2,1
SOUTH,13,213,45,,,2,,,,,,12,,,,1,,,,1,,,1,,,,,,,,,,,3,5,,,,,,,,,1,1,,5,,,,,6,1,,,,,1,5,
SOUTH,13,214,25,2,,,,,1,,,5,1,,,,2,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,2,,,,,,,1,1,,1,,1,4
SOUTH,13,215,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,13,216,12,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,7,,,,,,,,,,,1,,
SOUTH,13,217,24,,,,,,3,,,5,,,,,,,,,,1,1,,1,1,,,,,1,2,,2,,,,,,,,,,,,,1,,,,,2,,,,,,,2,2
SOUTH,13,218,37,,,,,,1,,,4,,,,2,,,,,,,1,,,,,,,,1,,,4,2,,,,,,,,,,,,11,,,1,,3,2,,,,1,1,3,
SOUTH,13,219,10,,,1,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,2,1,,,,,,,,
SOUTH,13,220,21,,,,,,1,,,3,1,,,1,,,,,,,,,1,,,,,,,,,4,1,,,1,,,,,,,,,4,,,,,1,,,,,,,2,1
SOUTH,14,224,53,5,,,,,2,,1,9,1,,,2,,,,,,,1,,,,,,,,2,3,,4,2,,1,,,,,,1,2,,,8,,,1,,,1,,,,,,1,6
SOUTH,14,225,47,4,1,1,,,2,,1,8,1,,,1,,,,,,,,,,,,,,,,4,,7,2,,,,,,,,,5,1,,5,,,,,1,,1,,,,1,,1
SOUTH,14,226,34,3,,,,,2,,,4,2,,,4,,,,,,,,,,,,,,,2,1,,2,2,,,,1,,,,,,,,8,,,,,,2,,,,,,1,
SOUTH,14,229,32,,,,,,3,1,,8,,,,,,,,,,,,,,,,,,,,,,8,1,1,,,,,,,,,,,4,,,,,3,2,,,,,,,1
SOUTH,14,230,34,1,,1,,,,,,4,,,,4,,,,,,,2,,,,,,,,2,2,,3,4,1,,,,,,1,,1,,,3,,,,,,,,,,,1,1,3
SOUTH,14,231,51,1,,,1,,3,,1,5,,,,4,,,,,,1,,,1,,,,,,1,1,,4,1,,1,,,,,,,1,,,12,,,,,2,4,,1,,,,3,3
SOUTH,14,232,31,1,,,,,,,,4,1,,,1,,,,,,,,,2,2,,,,,1,3,,2,,1,,,,,,,,,,2,5,,,,,1,,,,,,,3,2
SOUTH,14,235,41,,,,,,4,,,7,,,,,,,,,,,1,,,1,,1,,,4,,,2,2,1,,,1,,,1,,2,1,,5,,,,,2,1,,,,,1,1,3
SOUTH,14,236,30,1,1,,,,,,,2,1,,,2,,,,1,,,,,1,,,,,,1,,1,5,1,,,,,,,,,,1,,4,,,1,1,1,,,,,,1,3,1
SOUTH,14,239,27,1,,,,,1,,,2,,,,,,,,,,,1,,,1,,,,,1,1,,1,,,,,1,,,,,,,,4,1,,2,1,2,,,,,,2,1,4
SOUTH,14,240,9,1,,,,,1,,,4,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,
SOUTH,14,241,14,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,3,,,,,,1,,,,1,,,1
SOUTH,14,242,27,,,,,,2,,1,6,,,,1,,,,,,,1,,,,,,,,,3,,2,,,,,,,,,,,,,1,,,2,,6,2,,,,,,,
SOUTH,14,247,15,,,2,,,1,,,2,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,2,,,,,1,1,,1
SOUTH,14,248,77,2,,,1,,6,1,1,17,,,,8,,,,,,,1,,,,,1,,1,2,2,,5,3,,1,,,,,,,2,,,7,,,1,,5,1,,,,1,1,1,6
CENTRAL,12,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
CENTRAL,21,13,24,,,,1,,,,,7,1,,,1,,,,,,,2,,,,,,,,1,1,,2,1,,,,,,,,,,1,1,3,,,,,1,1,,,,,,,
CENTRAL,21,14,23,,,,,,2,,,,1,,,1,,1,,,,,,,,,,,,,,,,2,,,,,3,,,,,,1,2,6,,,,,1,1,,,,,,1,1
CENTRAL,21,15,6,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,2,,,,,,,,
CENTRAL,21,16,6,,,,,,2,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
CENTRAL,21,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,
CENTRAL,21,18,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,21,183,11,,,,,,,,,,,,,1,,,,,,,,,,2,,1,,,,,,1,1,,,,,,,,,,,2,,,,1,1,1,,,,,,,,
CENTRAL,21,184,45,2,,1,,,3,1,,5,1,,1,4,,,,,,3,1,,,,,,,,,,1,,2,,,,3,,,,,1,,1,10,,1,,,,,,,,,,3,1
CENTRAL,21,185,29,,1,,,,1,,,3,,,,3,,3,,,,,2,,1,,,,,,2,,,2,1,,,,1,,,,,,,,2,,,1,,3,,,,,,1,2,
CENTRAL,21,186,4,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
CENTRAL,21,187,16,,,,,,4,,,3,1,,,1,,,,,1,,,,,,,1,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,1,1
CENTRAL,21,188,23,,,3,,,4,1,,2,,,,1,,,1,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,6,,,,,,1,,,,,,,
CENTRAL,21,189,12,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,2,,,,,,,,,,,,2,,,,,,2,,,,,1,1,
CENTRAL,21,19,19,,,,,,,,,1,,,,1,,,,,,1,4,,,,,,,,,,,,3,,,,,,,,,,,6,2,,,,,,,,,,,,1,
CENTRAL,21,190,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
CENTRAL,21,191,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,1,,,,,
CENTRAL,21,192,13,,,,,,2,,,3,,,,,,,,,,,,,2,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,1
CENTRAL,21,193,14,,,1,,,,,,2,,,,1,,,,,,,,,,1,,,,,,,,1,1,,,,1,,,,,3,,,1,,1,,,1,,,,,,,,
CENTRAL,21,194,26,1,,1,,,2,,,2,,,,,,,,,,,1,,,1,,,,,,,,4,1,,,,,,,,,,,,3,,,,,,2,1,,,,,2,5
CENTRAL,21,195,18,,,,,,,,,1,,,,3,,,,,,,1,,,,,,,1,2,,,1,2,,,,,,,,,1,,,4,,,1,,,,,,,,,,1
CENTRAL,21,196,23,,,,,,,,,4,1,,,,,,,,,,1,,1,,,,,,,,,2,1,,,,,,,1,,1,,,4,,,1,,,5,,,,,,,1
CENTRAL,21,197,33,3,,1,,,1,2,1,4,,,,1,,1,,1,,,,,,,,,,,3,,,3,3,2,,1,,,,,,,,,3,,,,,1,1,,,,,,,1
CENTRAL,21,20,5,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,21,21,11,,,,,,1,,,2,,,,,,,,,,,1,,1,,,,,,,,,1,1,,,,,,,,,,,,2,,,,,,,,,,,,2,
CENTRAL,21,22,23,1,,,,,6,1,,1,1,,,,,,,,,3,,,1,,,,1,,,,,2,,,,,,,,,,,,,3,,2,,,,,,,,,,,1
CENTRAL,21,24,5,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,
CENTRAL,22,23,5,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
CENTRAL,22,25,20,1,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,4,2,,,,,,1,,,1,1,,2,1,1,,1,1,,,,,,,,1
CENTRAL,22,26,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
