PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INCEST WITH MINOR,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,13,204,26,,,1,,,1,1,,2,,,,,2,,,,,1,,,,,,,,,,,1,1,,3,1,,,,,,,,,,,,,,5,,,1,2,,,,,,,2,1,1
SOUTH,13,205,27,1,,2,,,1,,,7,3,,,,1,,,,,,,,,1,,1,,,,1,,,,2,,,,,,,,,,,,,,1,2,,,,,,1,,,,,,1,2
SOUTH,13,206,23,,,,,,1,,,5,,,,,,,,,,,,1,,,,,,,,,1,,,5,1,,,,,,,,,,,,,,3,,,,1,,,,,,,,4,1
SOUTH,13,207,9,,,,,,1,,,2,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,
SOUTH,13,208,19,,,,,,2,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,7,,,1,,,1,,,,,,,2
SOUTH,13,209,17,,,1,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,2,,,,,,,1,,,,,1,1
SOUTH,13,210,13,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,,,,1,,2,1,,,,,1,
SOUTH,13,211,12,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,2,,,,2,,,1,,,,,,
SOUTH,13,212,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,13,213,46,,,2,2,,1,,,6,,,,,3,,2,,,,1,1,,1,,,,,,,,3,,3,4,,,1,,,,,,,,,,,8,1,,,,,2,2,1,1,,,1,
SOUTH,13,214,18,,,2,,,1,,,2,,,,,,,,,,,,,,,,,,,,,2,1,,,3,,,,,,,,,,1,,,,4,,,,,,,1,,,,,,1
SOUTH,13,215,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,13,216,17,2,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,1,4,,,,,1,1
SOUTH,13,217,23,,,1,,,1,,,2,,,,,,,,,,,,1,,1,,,,,,,2,,,2,,,1,1,,,,,,,2,,,1,5,,,,,,,1,,,,,2,
SOUTH,13,218,20,1,,,,,,,2,3,2,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,2,1,,,2,,,,1,,,,,,,,1,1
SOUTH,13,219,41,1,,,,,2,,,7,,,,,2,1,1,,,,1,1,,1,1,,,,,,3,,,2,1,,1,1,,,,,,,2,,,,5,,,,1,,1,,,1,,,1,4
SOUTH,13,220,25,,,2,,,1,,,5,,,,,1,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,7,,,,,,,2,,,,1,2,1
