PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INCEST WITH MINOR,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
CENTRAL,22,40,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
CENTRAL,22,42,5,,1,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
CENTRAL,22,43,8,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
CENTRAL,22,44,26,1,,,,,5,,,1,,,,,1,,,,,,1,1,,1,1,,,,,,1,,,1,2,,,,,,,,,,,,,1,1,1,,1,,,4,,,1,,,,1
CENTRAL,22,45,6,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
CENTRAL,22,46,47,1,,1,,,8,,1,4,1,,,,1,,,,,,,2,,,,,,,,,,2,,4,7,,,,,,,,,,2,1,,,4,,,1,,,3,1,,1,,,1,1
CENTRAL,22,47,19,,,1,,,,,1,1,,,,,2,,,,,,1,,,,,,,,,1,1,1,,3,,1,,,,,,,,,,,,,2,,1,,,,2,,,,,,1,
CENTRAL,22,48,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
CENTRAL,22,49,6,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
CENTRAL,22,50,15,,,,,,2,,,1,1,,,,1,,1,,1,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,1,1,,,,,,1
CENTRAL,22,51,35,,,1,,,2,,,8,1,,,,4,,,,,,,1,,,,,,,,,,,,1,4,,,,,,1,,,,1,,,,5,,,,3,,,,,,,,2,1
CENTRAL,22,52,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,53,13,,,,,,2,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,2
CENTRAL,22,54,15,,,,,,1,,,3,1,,,,2,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,1,,,1,,,3,,,,,,,
CENTRAL,22,55,4,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
CENTRAL,22,56,8,,,,,,,,,3,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
CENTRAL,22,59,14,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,1,,,,5,,,1,1,,,,,,1
CENTRAL,22,60,53,,,1,,,2,,,7,1,,,,4,,,,,,,4,,1,2,,3,,,,1,8,,5,4,,1,1,,1,,,,,,,,,3,,1,,1,,1,,,,,,,1
CENTRAL,22,64,44,,1,1,,,,,,3,1,,,,2,,,,,,1,3,,1,1,1,,,,,,,,2,6,,,,,,,,,,1,,,9,4,,1,,,,5,,,,,,1,
CENTRAL,23,155,261,1,,1,,,,,,13,1,,,,11,,15,,,,4,14,,3,16,,1,1,,,2,,,18,28,,,2,,,,,19,,,,,80,3,,1,1,4,,8,7,,,,,,7
CENTRAL,23,156,115,1,,2,1,,1,1,,14,3,,,,2,,3,,,,1,6,,1,3,,,1,,,2,3,,12,13,,1,2,,1,,,,,1,,,,12,,1,4,2,,6,2,,,,7,4,2
CENTRAL,23,157,188,,1,,,,6,,,11,,,,,5,,3,,,,7,18,,,7,,1,,,,1,1,,12,20,,1,3,,,,,,1,,,,52,12,,,1,5,,15,,,,,,2,3
CENTRAL,23,158,18,1,,,,,1,,,,2,,,,7,,,,,,,,,,,,,,,,,,,1,2,,1,,,,,,1,,,,,,2,,,,,,,,,,,,,
CENTRAL,23,159,118,2,,2,,,11,1,,8,1,,,,9,,,1,2,,1,4,,4,,,,,,,4,2,,8,12,,1,1,,1,,,,,1,1,,3,18,1,1,2,3,,4,2,,,,,1,6
CENTRAL,23,160,18,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,1,2,,1,,,,,,,,,,,,,,,,6,,4,1,,,,,,
CENTRAL,23,161,45,,,2,,,3,,,4,,,,,2,,,,,,4,1,,2,,,,,,,1,,,3,4,,,1,,,,,,,1,1,,1,7,,,1,,,3,2,,,,,2,
CENTRAL,24,162,78,1,1,,,,,,,6,1,,,,4,,3,,1,,5,3,,1,2,,2,,,,5,,1,8,9,,1,,,,,,,,,,,1,5,,,,8,,4,1,,,,,1,4
CENTRAL,24,163,48,1,,,,,2,,,4,,,,,1,,,,1,,,2,,,1,,,,,,1,5,,5,5,,,1,,,,,,,1,,,,7,,,,2,,1,4,,,,1,2,1
CENTRAL,24,164,11,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,1,2,,,,,,,,,,1,,,1,,,1,,,,,,,,,,1,1
CENTRAL,24,165,99,,1,,,,,2,,14,2,,,,7,,1,,,,2,5,,3,3,,1,,,,4,3,,8,9,,,,,,,,,,1,,,4,8,,,1,7,,5,3,,,,1,2,2
CENTRAL,24,166,15,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,5,,,,,,1,,,,,,3,
CENTRAL,24,167,38,,,,,,1,,,1,,,,,2,,,,,,4,4,,1,,,,,,,2,,,6,5,,,,,,,,,,,,,4,5,,,,1,,1,,,,,,,1
CENTRAL,24,168,15,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,2,1,,1,,,,,,,,,1,,,,,,2,,,2,,,,1,,,,,1,
CENTRAL,24,169,74,1,,4,,,3,,,13,1,,,,4,1,,,,1,,2,,1,,,,,,,1,1,,4,4,,2,2,,,,,,,4,1,,,5,,1,1,2,,7,1,,,,3,,4
CENTRAL,24,170,51,1,1,,,,4,,,7,,,,,2,,,,,,,1,,,,,1,,,,1,,,3,2,,,2,,,,,,,2,2,,7,10,,1,1,,,1,,,,,,,2
CENTRAL,24,171,11,1,,,,,,,,1,,,,,2,,,,,,,,,,,,1,,,,,,,,3,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,
CENTRAL,24,172,23,,,,,,,,,1,,,,,1,,1,,,,4,4,,,1,,1,,,,,,,1,3,,,,,,,,,,,,,,2,,,,,,3,,,,,,1,
CENTRAL,24,173,24,,,,,,,,,4,,,,,4,,,,,,,1,,,,1,1,,,,1,,,,3,,,,,,,,,,1,,,3,,,,2,,,1,,,,,,,2
CENTRAL,24,174,14,1,,1,,,,1,,1,,,,,2,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,1,,,1,1,,,,,1,
CENTRAL,24,175,19,,1,,,,,,,1,,,,,1,,,,,,,3,,1,1,,,,,,,2,,2,3,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,1
CENTRAL,24,176,5,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,24,177,21,,,2,,,1,,,1,1,,,,,,,,,,,3,,,,,,,,,1,,,4,2,,,,,,,,,,,,,,1,,,2,1,,1,,,,,,1,
CENTRAL,24,178,6,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,1,,,,,,
CENTRAL,24,179,7,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,
CENTRAL,24,180,40,2,,1,,,1,,,3,,,,,1,,,,,,1,4,1,,2,,,,,,2,,,2,3,,,1,,,,,,,2,,,2,5,,,,1,,3,,,,,,,3
CENTRAL,24,181,15,,,,,,,,,2,,,,,1,,,,,,,2,,,,,,,,,1,,,2,,,,,,1,,,,,,1,1,,,,1,,,,3,,,,,,,
CENTRAL,24,182,16,,,,,,2,,,1,,,,1,3,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,
CENTRAL,31,93,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,21,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,57,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,
NORTH,31,58,8,,,,,,,,,2,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,1,
NORTH,31,61,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
NORTH,31,62,18,1,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,5,2,,,,,,,,,,,,,,1,,,,2,,1,,,,3,,,
NORTH,31,63,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
NORTH,31,66,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,67,6,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,
NORTH,31,68,14,1,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,2,,,3,1,,1,,,,,,,,,,,,2,,,,,,,,,1,,,,
NORTH,31,69,12,,,,,,,,,1,1,,,,,,,,,,,1,,,,,1,,,,2,1,,1,2,,,,,,,,,,,,,,,,,1,,,,,,,,,1,
NORTH,31,70,92,3,,3,,,5,2,,9,,,,,10,,,,,,,2,,3,3,,,,,,3,2,,6,6,,1,2,,1,,,,,3,,,3,10,,,,,,4,1,,,,1,3,6
NORTH,31,71,8,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,1,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,
NORTH,31,72,10,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,3
NORTH,31,73,6,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,31,74,27,,,,,,1,,,4,1,,,,,,,,,,1,,,,,,,,,,,1,,4,1,,,,,1,,,,,,,,2,1,,1,1,,,8,,,,,,,
NORTH,31,75,5,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,76,13,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,1,,1,3,,,,,,,,,,,,,,1,,1,,1,,,,,,,,1,
NORTH,31,77,11,1,,,,,,1,,2,,,,,2,,,,,,,1,,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,78,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,79,15,,,,,,3,,,3,,,,,,,,,,,,2,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,2,1,,,,,1,
NORTH,31,80,9,,1,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1
NORTH,31,81,13,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,4,,1,,,,,,,,,,3,
NORTH,31,82,58,2,,1,,,4,,,7,1,,,,1,,,,,,2,2,,1,3,,1,,,,,,2,8,3,,,,,,,,,,1,,,1,7,,1,1,1,,3,1,,,,,1,3
NORTH,31,83,91,2,,1,,,,,,12,3,,,,7,,1,,1,,,7,1,,3,,,,,,2,2,,6,4,,1,,,1,,,,,2,,,,13,,1,2,2,,8,,,,,,,9
NORTH,31,84,7,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
NORTH,31,85,6,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
NORTH,31,86,10,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,1,,1,,,,1
NORTH,31,87,21,1,,1,,,1,,,2,1,,,,1,,,,,,,1,,,,,,1,,,1,,,2,4,,,,,,,,,,,,,,,,,1,,,,2,,,,,,2
NORTH,31,88,25,2,,,,,4,,,2,,,,,1,,,,,,,,,1,,,,,,,3,1,,1,2,,,,,,,,,,,,,,2,,,,1,,1,,,,,,2,2
NORTH,31,92,24,1,1,1,,,3,1,,1,,,,,1,,,,,,,4,,,,,,,,,2,,,1,,,1,,,,,,,,,,,,2,,,1,,,,1,,1,,1,,1
NORTH,31,93,14,,,,,,4,,,1,,,,,,,2,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,1,,2,,,,,,,
NORTH,31,94,33,,,,,,1,,,3,,,,,1,,,,,,,3,,1,2,,,,,,1,1,,2,6,,,,,,1,,,,1,,,3,3,,,,,,1,,,,,,,3
NORTH,31,95,25,1,2,3,,,,,,5,,,,,,,,,,,,1,,,,,,,,,2,1,,2,1,,,,,,,,,,,,1,,2,,,,1,,2,,,,,,,1
NORTH,31,96,62,1,1,,1,,3,2,,10,3,,,,5,,,,,,,2,,1,,1,,1,,,2,2,,4,3,1,,,,1,,,,,,,,,8,,,1,3,,1,,,,,,2,3
NORTH,32,100,28,,,1,,,1,,,5,,2,,,2,,,,,,,,,,,,,,,,1,2,,3,1,,,1,,1,,,,,,1,,,1,,,,2,,2,,,1,1,,,
NORTH,32,101,26,,,,,,1,,,2,,,,,,,,,,,1,3,,,3,,,,,,2,5,,3,1,,1,,,,,,,,,,,,2,,,,,,,,1,,1,,,
NORTH,32,102,32,1,,,,,1,,,5,1,,,,3,,,,,,2,2,1,2,,,,,,,,,,2,1,,,,,,,,,,,,,2,3,1,1,,1,,,,,,,,,3
NORTH,32,103,14,,,,,,1,,,3,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,1,,3,1,,,,,,
NORTH,32,104,40,1,,1,,,1,,,3,,,,,3,,,,1,1,,2,,1,2,,1,,,,,2,,3,4,,,,,,,,,,,,,,5,,1,,2,,2,,,,1,1,,2
NORTH,32,105,92,1,,6,,,5,,,13,,,,,5,,,1,,,,3,,,2,,1,,,,3,3,,13,6,,,1,,,,,,,1,,,,8,,1,,1,,3,2,,1,,,5,7
NORTH,32,106,11,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,107,16,,,1,,,,,,6,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,5
NORTH,32,108,8,,,,,,,,,1,1,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,
NORTH,32,109,63,,,1,,,11,1,,9,,,,,1,,,,1,,,4,,,4,1,,,,,,,,6,1,,,,,1,,,,,1,,,8,3,,,,,,2,4,,,,,1,3
NORTH,32,110,47,,,1,,,3,,,3,1,,,,5,,,,1,1,,2,,,1,,,,,,3,3,,2,4,,,,,,,,,,1,,,,8,,,,2,,1,,,,,1,,4
NORTH,32,111,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,112,12,,,,,,,,,6,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,
NORTH,32,113,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
NORTH,32,114,10,1,,1,,,1,,,,1,,,,,,,,1,,,2,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,
NORTH,32,115,26,1,,,,,1,,,2,,,,,,,1,,,,,4,,1,1,,,,,,,,,2,4,,,,,,,,,,1,,,2,1,,,,2,,,,,,,,,3
NORTH,32,89,6,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,
NORTH,32,90,3,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,91,8,,,,,,1,,,2,1,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
NORTH,32,97,6,,,,,,2,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,
NORTH,32,98,19,1,1,,,,,,,6,,,,,,,,,,,,2,,,,,,,,,,1,,1,,,,,,,,,,,,,,,4,,,,,,,1,,,,,,2
NORTH,32,99,10,,,,,,1,,,1,,,,,1,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1
NORTH,33,116,63,,,4,,,2,,,6,,,,,2,,,,,,,3,,,1,,,1,,,5,,,7,4,,1,,,1,,,,,1,,,,12,,1,1,1,,1,2,,,,,2,5
NORTH,33,118,95,1,,3,1,,13,,1,11,1,,,,2,,,,,,,11,,,1,,,,,,3,2,1,8,4,1,2,,,1,,,,,1,,,,11,,1,,2,,5,2,,,,,4,2
NORTH,33,119,87,2,1,,,,10,1,1,15,1,,,,4,,,,,,1,,1,,,,2,,,,4,5,,6,5,,,,,,,,,,1,2,,,11,,,,2,,4,2,,,,,1,5
NORTH,33,120,6,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
NORTH,33,121,49,1,,,1,,3,1,,8,2,,,,,,,,2,,,5,,,,,,,,,2,1,,5,3,,1,,,,,,,,,2,,,6,,,,2,,2,,,,,,2,
NORTH,33,122,6,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,
NORTH,33,123,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
NORTH,33,124,32,,,2,,,2,,,7,,,,,,,4,,,,,2,,,,,,,,,4,,,2,1,,,,,2,,,,,,,,,2,,,,,1,1,2,,,,,,
NORTH,33,125,17,2,,1,,,,,,,,,,,1,,,,,,5,,,,,,,,,,1,,1,,2,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,1
NORTH,33,126,8,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,
NORTH,33,127,14,,,,,,,,,1,1,,,,,,,,1,1,,1,,1,,,,,,,1,3,1,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
NORTH,33,128,17,,,,,,2,,,5,,,,,,,,,,,,4,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,1,,,,,1,
NORTH,33,130,6,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,
NORTH,33,131,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,33,132,4,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,
NORTH,33,136,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,34,138,51,1,,1,,,2,,,9,1,,,,3,,,,1,,,1,,1,,,1,,,,,1,,7,4,,,1,,,,,,,,,,1,8,,,,1,,,1,,,,,1,5
NORTH,34,139,91,1,1,1,,,5,2,1,14,2,1,,,5,,,,1,,,5,,,,,1,1,,,4,,,7,4,,,,,1,,,,,,,,,7,1,1,1,8,,9,,,,,,,7
NORTH,34,141,32,,,3,1,,5,,,5,,,,,2,,,,,,,1,,1,1,,,,,,3,,2,2,,,,,,,,,,,,,,1,4,,,,1,,,,,,,,,
NORTH,34,142,20,,,1,1,,2,,,3,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,2,,,1,,,,,,,,,3,,,,1,,1,,,,,1,1,
NORTH,34,143,64,4,,1,,,8,,,12,,,2,,3,,,,,,,3,,1,2,,,,,,1,,1,4,3,,,,,2,,,,,1,,,1,6,,1,,1,,2,1,,,,,,4
NORTH,34,144,6,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,
NORTH,34,145,11,1,,,1,,1,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,1,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
NORTH,34,146,30,,,1,1,,2,1,,4,,,,,,,,,,,,5,,,,,,,,,2,2,,3,2,,,,,,,,,,,,,,5,,1,,,,1,,,,,,,
NORTH,34,147,21,,,,,,1,,,2,1,,,,1,,,,,,,,,1,,,,,,,1,,,2,1,,,,,,,,,,,,,,3,,,,,,7,1,,,,,,
NORTH,34,148,15,1,,,,,,,,3,,,,,,,,,1,,,,,,1,,,,,,,,,1,1,,,,,1,,,,,,,,,4,,,,,,,1,,,,,,1
NORTH,34,149,58,1,,1,,,2,,,6,1,,,,2,,,,,,1,6,,6,,,1,,,,2,2,,5,3,,,1,,1,,,,,,,,2,4,,1,,,,5,1,,,1,,3,
NORTH,34,150,15,,,,,,,,,1,1,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,1,,,,,,,,,4,,1,1,,,2,,,,,,,
NORTH,34,151,9,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,1,,,1,1,,,,,1,
NORTH,34,152,85,,,,,,1,1,,8,,,,,4,,2,,,,,12,,1,3,,,,,,1,7,,7,6,,,,,1,,,,,,1,,11,7,,1,,1,,2,5,1,,,,,2
NORTH,34,153,38,1,,2,,,1,,,3,1,,,,3,,2,,,,1,2,,,,,,,,,1,1,,4,6,,,1,,1,,,,,,,,,1,,,,1,,2,2,,,,1,,1
NORTH,34,154,64,,,,,,9,1,,7,2,,,,3,,,,,,,1,,,,,,,,,4,1,,6,7,,,,,1,,,,,1,2,,,10,,,2,1,,,4,,,,,2,
