PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,ROBBERY,"SEX ASSAULT, RAPE",SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,11,222,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
SOUTH,11,223,76,2,,1,,2,1,,6,3,,,1,7,,,,,,,3,2,,,4,,,1,1,1,1,1,8,3,,,2,,,,,,1,,,14,,1,,,1,,1,1,,,,,2,5
SOUTH,11,227,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
SOUTH,11,228,39,1,,,,1,,,2,1,,,,,,,,,,,,1,,,1,,,,,1,1,,6,4,,,,,,,,,,,5,8,,,,,,,1,,,1,,,2,3
SOUTH,11,233,34,,1,1,,,1,,4,1,,,,,,,,,,,,,,,,,,1,,,1,,4,2,,,,,,,,,1,,1,6,,,,,2,,4,1,,,,,,3
SOUTH,11,234,28,2,,1,,1,,,2,,,,,,,,,,,,,,,,,,,,,,2,,3,1,,2,,,,,,2,,,,7,,,,,2,,1,1,,,,,1,
SOUTH,11,237,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
SOUTH,11,238,58,3,,,,2,,,10,,,,,5,,,,,,1,1,1,,,,1,,,,2,2,,4,1,,,,,1,,,,1,,,10,,,,,1,,2,1,,,,,1,8
SOUTH,11,243,52,5,,,1,1,,,4,,,,,6,,,,,1,,,,,,,,,1,,,2,,3,1,,1,1,,,,,,,,,15,,,,,2,,1,,,1,,,,6
SOUTH,11,244,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,
SOUTH,11,245,34,1,,,,,,,6,,,,,4,,,,,,,,,,,,,,,,,2,,2,,,,1,,1,,,,,,,7,,,,,1,,1,,,1,,1,1,5
SOUTH,11,246,26,1,,,,2,1,,5,,,,,3,,,,,,,,,,,,,,,,1,,,1,,,,1,,1,,,,,,,6,1,,1,,,,,,,,,,,2
SOUTH,12,10,40,1,,,,6,,,8,,,,,1,,,,,,,,,,1,,,,,,1,,1,4,,,,,,1,,,,2,,1,4,,,,1,2,,4,,,,,,,2
SOUTH,12,11,27,1,,1,,1,,1,1,,,,1,1,,,,,,,,1,,,,,,,,1,1,1,3,1,,,1,,1,,,,,,,3,,,,,1,,1,1,,,,,1,3
SOUTH,12,12,30,,,,1,,,,1,,,,,1,,,,,,,,,,,,,1,,,,7,,,4,,1,,,,,,1,1,1,,1,,1,1,,4,,1,1,,,,,1,1
SOUTH,12,2,38,1,1,2,,,,,2,,,,,4,,,,,,,1,,,1,,,,,,7,,,2,4,,,,,,,,,,,,8,,1,,,,,1,1,,1,,,1,
SOUTH,12,3,30,1,,,,2,,,2,2,,,,1,,,,,,,,2,,,,,,,,1,,,2,3,,,,,,,,,,,,4,,,,,1,,3,3,,,,,2,1
SOUTH,12,4,29,,,,,1,,,6,,,,,2,,,,,,,,1,,,,,,,,1,,,4,5,,,,,,,,,,,1,2,,,,1,,,2,2,,,,,,1
SOUTH,12,6,24,,,,,,,,6,,,,,,,,,,,,,,,,1,,,,,1,,,1,4,,,,,,,,,,,,,,,,,,,2,7,,,,,2,
SOUTH,12,7,11,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,3,,,,,,,1,,1,,,1,,,1,,,,,,,,,,,1
SOUTH,12,9,9,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,4,2,,,,,,1
SOUTH,13,198,59,,,,,,,,2,1,,,,1,,1,,,,,,1,,,4,,,,,,,,1,6,1,,,,,,,,,,32,5,,1,,,,,,2,,,,,,1
SOUTH,13,199,50,,,,,,,,3,,,,,3,,2,,,1,,4,,,,6,,1,,,5,,,2,3,,,,,,,,,,,1,8,,,,,4,,1,,1,,,,3,2
SOUTH,13,200,17,,,,,3,,,3,,,,,,,,,,,,,,,,1,,1,,,1,,,1,1,,,,,,,,,,,,3,,,1,,1,,,,,,,,,1
SOUTH,13,201,53,1,,,,,,1,9,1,,,,1,,,,,,,1,,,3,1,,,,,4,,,5,1,,,,,,,1,,1,1,1,8,,,1,1,2,,3,1,,,,,3,2
SOUTH,13,202,29,1,,,,1,,,9,,,,,2,,,,,,,,,,1,,,,,,,,,3,1,,,,,1,,,,1,,,3,,,,,,,2,,,,,,1,3
SOUTH,13,203,19,,,,,1,,,3,,,,1,1,,,,,,,1,,,,,,,,,,,,5,1,,,,,,,,,,1,,,,,,1,1,,1,,,1,,,1,
SOUTH,13,204,37,3,,1,,1,,,5,1,,,,4,,,,,,,,1,,,,,,,,2,,,2,1,1,,,,,,,,,,,3,,,,,,,3,1,,,,1,1,6
SOUTH,13,205,16,,,,,2,,,3,,,,,2,,,,,,1,1,1,,,,,,,,2,1,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,
SOUTH,13,206,7,,,,,1,,,1,1,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
SOUTH,13,207,7,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,1,,,,,,,1,,,1,,,,,,
SOUTH,13,208,10,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,4,,,,,1,,,,,,,,,
SOUTH,13,209,9,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,4,1,,,,,,,,,,,,,,
SOUTH,13,210,8,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,1,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,,,,
SOUTH,13,211,11,,,,,,,,3,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,1,1,,1,,,,,,,
SOUTH,13,212,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,13,213,20,,,,,3,,,,2,,,,1,,,,,,,1,,,,,,,,,,1,,1,,,1,,,,,,,,,,3,,,,,3,,,1,,,,1,2,
SOUTH,13,214,20,2,,,1,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,6,,,,,,,2,2,,,,,,
SOUTH,13,215,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,13,216,13,,,,,,,,3,,,,,1,,,,,,,,,,,,1,,,,1,,,,2,,,,,,,,,,,,3,,,,,,,,1,,,,,,1
SOUTH,13,217,23,3,,,,1,,,2,,,,,4,,,,,,,,,,,1,,,,,1,,1,2,,,,,,,,,,,,1,2,,,,1,,,1,,,,,,,3
SOUTH,13,218,18,,,,,2,,,1,,,,,,,,,,,,1,3,,,,,,,,3,1,,1,,,,,,,,,,,,,4,,,,,1,,,1,,,,,,
SOUTH,13,219,33,,,,1,3,,,3,1,,,,1,,,,,,,1,,,,,,,,,2,1,,4,2,,,,,,,,,1,,,9,,,,,,,1,,,,,,2,1
SOUTH,13,220,11,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,5,,,,,,,,,,,,,,
SOUTH,14,224,53,1,2,,,1,,,9,1,,,,9,,,,,,,,,,,,1,,,,3,,,3,1,,1,2,,,,,,1,,,8,,,1,,,,,2,,,,,,7
SOUTH,14,225,49,4,,1,,3,,,11,,,,,3,,,,,,,,,,1,,,,,,3,2,,6,2,,,1,,,,,,,,,10,,,,,,,1,1,,,,,,
SOUTH,14,226,13,,,,,1,,,3,,,,,1,,,,,,,,1,,2,,,,,,1,,,,2,,,,,,,,,,1,,1,,,,,,,,,,,,,,
SOUTH,14,229,43,2,1,2,1,,,,6,,,,,3,,,,,,,,1,,1,,,,,,3,2,,7,5,,,,,,,,,1,,,3,,,,,1,,,,,,,,,4
SOUTH,14,230,46,2,,,,1,,,8,1,,,,3,,,,,1,,,3,,1,1,,,,,1,1,,4,,,,,,,,,,,,,11,,,,,3,,,2,,,,,1,2
