PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD - WELFARE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INCEST WITH MINOR,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,11,222,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,11,223,83,2,,,,,3,,,19,,,,,10,,,,1,,1,,,,,1,1,,,,,3,,,3,2,,,,,,,,,1,1,,,19,,,,1,2,,7,3,,,,,2,1
SOUTH,11,227,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,
SOUTH,11,228,41,1,,,,,1,,,7,,,,,4,,,,,,,,,,1,2,,,,,,,1,,6,3,,,,,,,,,,,,1,6,,,,2,1,,4,,,,,,,1
SOUTH,11,233,28,2,,1,,,,1,,2,,,,,1,,,,,1,1,2,,,1,3,,,,,,3,,,3,1,,,,,,,,,,1,,1,2,,,1,,,,,,,,,,,1
SOUTH,11,234,35,1,,,1,,,,,7,,,,,4,,,,,,1,,,,,,,,,,,2,1,1,2,1,,,,,,,,,2,,,,3,,,,1,2,,2,1,,,,,1,2
SOUTH,11,237,3,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,11,238,36,,,1,,,3,1,1,8,,,,,6,,,,,,,,,,1,,,,1,,,2,,,,1,,,,,,,,,,,,,4,,,,,2,,2,1,,,,,1,1
SOUTH,11,243,39,1,,1,,,4,,,7,,,,,7,,,,,,1,,,,,,,,,,,1,,,3,1,,,1,,,1,,,,1,,,8,,,,,1,,,,,,,,,1
SOUTH,11,244,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
