PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,ASSIST/PROMOTE PROSTITUTION,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,11,222,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
SOUTH,11,223,77,6,,,,,2,,,7,,,,,10,,,,,,,1,,,3,,1,1,1,3,,,9,1,,,,,,,,,,1,,,,16,,,,,2,,2,2,,,,1,1,7
SOUTH,11,227,4,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
SOUTH,11,228,53,1,,2,,,1,1,1,8,,,,,5,,,,,1,,1,,,1,,,,,,,,11,2,,1,,,,,,,1,,,,3,8,,,1,,,,1,,,,,,1,2
SOUTH,11,233,34,1,,,,,2,,,3,,1,,,1,,,,,,1,,,1,1,,,,,1,,,7,1,,,,,,,,,,1,,,4,6,,,,,1,,,,,1,,,,1
SOUTH,11,234,45,,,,,,4,,,13,,,,,3,,1,,,,,,,2,,,,,,2,,,2,4,,,,,,,,,,1,1,,,6,,,,,1,,1,,,,,,1,3
SOUTH,11,237,2,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,11,238,50,1,,1,,,4,,,10,,1,,,3,,,,,,,,,,,,,,,,1,,7,2,,1,,,,,,,,1,,,,12,,,,,,,,1,,,,,1,4
SOUTH,11,243,47,2,,,,,2,1,,9,,,,,4,,,,,,2,1,,,,,,,,3,,,1,,,,,,,,,,,,1,,,12,,,1,1,,,2,2,,,,1,1,1
SOUTH,11,244,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
SOUTH,11,245,30,,,1,,,2,,,4,,,,,3,,,,,,1,,,1,,,,1,,3,,,2,,,,,,,,,,,,,1,,2,,,,,2,,1,1,,,,,1,4
SOUTH,11,246,29,,,3,,,2,,,7,,,,,2,,,,,,,,,1,,,,,,,,,4,,,,,,,,,,,1,,,,5,,1,,,,,,2,,,,,,1
SOUTH,12,10,29,1,,2,,,4,,,2,1,,,,1,,,,,,1,,,,1,,1,,,2,,1,1,1,,,,,,,,,,,1,,,2,,,,,1,,1,2,,1,,,,2
SOUTH,12,11,21,1,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,1,,3,3,,,,,,,,,,,,,,3,,,1,,1,,2,1,,,,1,,
SOUTH,12,12,17,1,,,,,1,,,2,,1,,,,,1,,,,,1,,,3,,,,,,,,1,,,,,,,,,,,1,,,1,1,,,1,,,,,,,1,,,,1
SOUTH,12,2,42,1,,1,,,,,,1,,,,,4,,,,,,,,,1,,,,,,2,1,,2,1,,,,,,,,,,,,,,11,,,3,,8,,3,1,,,,,1,1
SOUTH,12,3,19,1,,,,,1,,,1,,,,,1,,,,,,,,,1,,,,,1,,,,1,2,,1,,,1,,,,,1,,,,3,,,,,2,,,,,,,,1,1
SOUTH,12,4,14,,,,,,,,,1,,,,,3,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,2,3,,,,,,,,2,,,,,,
SOUTH,12,6,22,1,,,1,,,,,4,,,,,,,,,,,,,,1,,,2,,,,,,1,3,,,,,,,,,,,,,,,,1,,,1,,,3,,,,,3,1
SOUTH,12,7,20,1,,1,,,1,,,,,,,,1,,,,,,,,,2,,,,,,1,,,2,3,,,1,,1,,,,,,,,,3,,,,,,,,2,,,,,,1
SOUTH,12,9,6,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,13,198,39,,,,,,,,,,,,,,9,,,,,,,1,,,,,,,,1,,,2,,,,,,,,,12,,1,,,,7,,,,,1,,,1,,1,,,,3
SOUTH,13,199,58,1,,,,,3,,,7,,,,,3,,1,,,,3,1,,2,5,,,,,,,,6,4,,1,,,,,,,,,,,1,10,,,,1,3,,4,,,,,,2,
SOUTH,13,200,25,1,,1,,,1,,,2,1,,,,,,,,,,,,,1,,,,,,1,,,2,2,,,,,1,,,,,,1,,,7,,,,,1,,,1,,,,,1,1
SOUTH,13,201,68,2,,1,,,1,,1,2,1,,1,1,6,,,,,,4,1,,2,1,,,,1,3,2,,6,1,,,,,,,,,,2,,,,17,,,,,4,,2,,,1,,,1,4
SOUTH,13,202,17,,,1,,,2,,1,2,,,,,1,,,,,,1,1,,2,,,,,,1,1,,1,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
SOUTH,13,203,7,,,1,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,
SOUTH,13,204,38,2,,,,,1,,,5,1,,,,4,,,,,,,1,,,,,,,,1,2,,3,2,,,1,,,,,,,,,,,4,,,,1,,,2,1,,,,1,1,5
SOUTH,13,205,24,,,,,,3,,,4,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,3,5,,,,,3,,1,,,,,1,,1
SOUTH,13,206,17,1,,,1,,2,,,2,,,,,1,,,,,,,1,,,,,,,,1,,,2,1,,,,,,,,,,,,,,3,,,,,2,,,,,,,,,
SOUTH,13,207,15,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,2,,4,,,,,,,,,,,,,,,2,,,,,1,,,3,,,,,,
SOUTH,13,208,10,,,1,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,1,,1
SOUTH,13,209,10,1,,,,,,,,2,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,2
SOUTH,13,210,10,,,1,,,2,,,2,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
SOUTH,13,211,7,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,
SOUTH,13,212,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,
SOUTH,13,213,45,1,,,,,14,,1,5,,,,1,4,,,,,,,,,1,,,,,,1,,,4,1,,,1,,,,,,,1,,,,2,,1,,,2,,1,2,,,,1,,1
SOUTH,13,214,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,
SOUTH,13,215,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,13,216,27,2,,,,,1,,,4,,,,,4,,,,,,,,,1,,,,,,1,,,1,1,,,,,,,,,,2,,,,4,,,,,,,2,1,,,,,,3
SOUTH,13,217,24,1,,,,,,,,4,1,,,,1,,,,,,,2,,,,,,,,2,,,1,1,,,,,,,,,,,1,,1,2,,,,,1,,1,2,,,,,2,1
SOUTH,13,218,45,2,,,1,,6,,,8,1,,,,1,,,,,1,1,3,,1,,,,,,2,,,1,,,,,,,,,,,,,,,9,,,,,2,,,2,,,,,,4
SOUTH,13,219,36,1,,,,,1,,,3,,,,,2,,,,,,,1,,,1,,,,,2,,,6,1,,,,,,,,,,,,,,7,,,,,3,,3,3,,1,,,,1
SOUTH,13,220,29,1,,1,,,1,,,7,,,,,4,,,,,1,,,,,,,,,,,1,,3,3,,,,,,,,,,,,,,5,,,,,1,,,1,,,,,,
SOUTH,13,221,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,14,224,54,3,1,1,,,1,,1,2,,,,,12,,,,1,,,,,1,,2,,,,3,4,,3,,,,,,1,,,,,,,,,10,,,,,3,,,4,,,,,,1
SOUTH,14,225,89,3,,2,,,2,,,18,,,,,9,,,,,,,,,,,,,,,6,,,8,1,,,,,,,,,,1,,,,22,,1,,,1,,2,,,1,,,3,9
SOUTH,14,226,17,1,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,1
SOUTH,14,229,51,2,,1,2,,2,,,10,,,,,4,,,,,,1,1,,,,,,,,2,1,,4,,,,,,,,,,,2,1,,,10,,,,1,,,4,,,,,,,3
SOUTH,14,230,43,2,,,,,3,,,4,,1,,,2,,,,,,1,1,,,,,,,,4,2,,6,,,,,,,,,,,,,,,7,,,,,2,,,2,,,,,1,5
SOUTH,14,231,95,3,,,,,3,,,12,2,,,,15,,,,,,,2,,3,1,1,,2,,1,,,11,1,,3,,,,,,,,3,1,,,17,,,1,,,,1,,,,,,2,10
SOUTH,14,232,26,,,,,,3,,,4,,,,,1,,,,,,,1,,1,,,,,,1,,,4,,,,1,,,,,,,1,,,,4,,1,,,1,,1,1,,,,,,1
SOUTH,14,235,46,,,,,,4,,1,6,1,,,,2,,,,,,,1,,1,,,,,,,,,5,2,,,1,,,,,,,3,,,,8,,,,,1,,3,1,,,,,,6
SOUTH,14,236,47,1,,,,,7,,,2,1,,,,10,,,,,,,,,,,1,,,,4,,,4,1,,1,1,,1,,,1,,1,,,,4,,,,,1,,1,2,,,,,1,2
SOUTH,14,239,43,1,,,,,6,,1,5,,,,,4,,,,,,,,,1,,,,,2,1,4,,4,,,1,,,1,,,,,,,,,4,,,1,,,,2,1,,,,,3,1
SOUTH,14,240,15,,,,,,1,,,3,,,,,3,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,3
SOUTH,14,241,30,1,,1,,,2,,,4,2,,,,3,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,1,,,,4,,,,,,,3,,,,,,1,5
SOUTH,14,242,35,,,,1,,2,,,5,1,,,,3,,,,,,,,,,,,,,,1,1,,4,1,,1,,,,,,,,2,,,,1,,,,2,,,3,4,,,,,,3
SOUTH,14,247,30,1,,,,,5,1,,5,1,,,,3,,,,1,,,1,,1,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,2,,,6,,,,,,,
SOUTH,14,248,78,2,,,,,5,,,16,,,,,15,,,,1,,,,,,,,,,,3,,,2,1,,,2,,,,,,,,,,,16,,,,,1,,3,,,,,1,,10
CENTRAL,21,13,19,,,,,,2,,,6,,,,,2,,,,,,,,,,1,,,,,2,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,2,
CENTRAL,21,14,21,,,,,,2,,,3,,,,,1,,,,,,,,,,1,,,,,,,,3,1,,,,,,,,1,,1,,,,1,,,,,1,,3,1,,,,,,2
CENTRAL,21,15,9,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,1,1,,3,,,,,,,
CENTRAL,21,16,6,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,1
CENTRAL,21,17,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,1,,,,,1,,,,,,,,4,,,12,1,,,,,,
CENTRAL,21,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,
CENTRAL,21,183,21,,,,,,,,,4,1,,,,2,,,,,,2,1,,,,,,,,1,,,1,,,,,,,,,,,,,,2,3,,,,,1,,,,,1,,,,2
CENTRAL,21,184,49,1,,1,,,2,,1,10,,,,,4,,,,,,,2,,1,,,,,1,4,1,,1,1,,1,,,,,,,,,,1,,12,,,,,,,,2,,1,,,1,1
CENTRAL,21,185,33,,,,,,4,,,7,,,,,5,,,,,,,1,,,,,,,,3,,,1,1,,1,,,,,,,,,1,,,2,,,,,2,,,1,,,,2,2,
CENTRAL,21,186,13,,,,,,2,,,1,,,,,1,,,,,,2,,,,,,,,,1,,,1,2,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1
CENTRAL,21,187,27,2,,,,,1,,1,1,,,,,2,,,,,,,1,,,1,2,,,,2,,1,3,1,,,,,,,,1,,1,,1,,2,,,,,,,2,,,,,1,,1
CENTRAL,21,188,31,1,,,,,,,,8,1,,,,2,,,,,,,,,,,,,,,1,,,1,1,,,2,,,,,,,1,,,,11,,,,,1,,1,,,,,,,
CENTRAL,21,189,25,,,,,,1,,,2,,,,,1,,,,,,1,,,,,,,,,,,,2,,,1,,,,,,15,,,,,,,,1,,,,,,1,,,,,,
CENTRAL,21,19,18,,,,,,3,,,3,,,,,1,,,,,,1,,,1,3,,,,,1,,,1,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,1,
