PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INCEST WITH MINOR,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,11,223,78,2,,1,,,6,1,,18,,,,14,,,,,,,1,2,,1,1,,,,,,4,1,1,3,2,,,1,,,,,,,1,,,,8,,,1,,2,,1,,,,,,,6
SOUTH,11,227,5,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
SOUTH,11,228,48,1,,1,,,2,,,6,,,,7,,,,,,,,,,,2,1,,,,,,1,,7,1,1,1,,,,,,,,1,,,4,6,,,,1,1,,1,,,,1,,1,1
SOUTH,11,233,37,1,,2,,,2,,,6,,,,1,,,,,,,1,1,,,1,,,,,,1,1,,1,,1,,,,,,,,,1,1,,1,8,,,,,,,,,,,,1,,6
SOUTH,11,234,27,1,,,2,,3,,,3,,,,3,,,,,,,,1,,,,1,,,,,3,2,,,,,,,,,,,,,1,,,,2,,,,,1,,1,1,,,,,,2
SOUTH,11,237,4,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1
SOUTH,11,238,31,,,1,,,2,,,4,,,,6,,,,,,,1,,,,1,,,,,,,,,4,,1,1,,,,,,,,,,,,5,,,,,1,,,,,,,,2,2
SOUTH,11,243,40,1,,2,,,3,1,,12,1,,,4,,,,,,,,,,,,,,,,,,,,1,2,1,,,,,,,,,1,,,,3,,,,,,,1,,,1,,,,6
SOUTH,11,244,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,11,245,42,1,,,,,11,,,10,,,,2,,,,,,,,1,,,,,,,,,2,1,,2,,,,,,,,,,,1,,,,8,,,,,,,1,,,,,,,2
