Actions,Total
Items Received,"12,238"
Items Disposed Destroyed,"2,645"
Items Disposed Released to Owner,986
Items Disposed Released to AFIS,261
Items Disposed Released to Another Jurisdiction,160
Items Disposed Kept by Court,46
Items Disposed Auctioned,75
Items Disposed Other,54
Items Disposed Total,"4,277"
