Rank,Nature of Call,Total
1,CHECKING BUILDING,"44,940"
2,VEHICLE STOP,"20,374"
3,BUSY ON INVESTIGATION,"4,080"
4,COMMUNITY POLICING PROJECT,"3,543"
5,PICK UP PAPERWORK,"3,024"
6,SEE COMPLAINANT,"2,833"
7,TRAFFIC DETAIL,"2,420"
8,MOTORIST NEEDS ASSISTANCE,"2,077"
9,SUSPICIOUS PERSON,"1,568"
10,EXECUTE WARRANT,"1,483"
