Rank,Nature of Call,Total
1,911 HANG UP,"8,829"
2,SEE COMPLAINANT,"5,226"
3,ALARM B AND E,"3,249"
4,DISTURBANCE,"2,486"
5,SUSPICIOUS PERSON,"2,348"
6,AUTO ACCIDENT,"2,328"
7,ANIMAL CONTROL CALL,"2,315"
8,RECKLESS DRIVER,"1,624"
9,CHECKING BUILDING,"1,539"
10,LARCENY,"1,480"
