Rank,Offense,Total
1,Simple Assault,775
2,Simple Assault (Domestic),656
3,Vandalism of Private Property,504
4,Petit Larceny,463
5,Grand Larceny,444
6,"Larceny, Shoplifting",393
7,Residential Burglary,373
8,Destruction of Property,364
9,Theft From Motor Vehicle,352
10,Hit and Run,341
