Crime Type,2005,2006,Change,% Change
Homicide,4,5,1,25.0%
Rape,23,23,0,0.0%
Robbery,197,202,5,2.5%
Aggravated Assault,201,178,-23,-11.4%
Burglary,371,389,18,4.9%
Larceny,"2,699",2537,-162,-6.0%
Auto Theft,513,380,-133,-25.9%
Total,"4,008","3,714",-294,-7.3%
