Location,Crashes
Duke Street & South Walker Street,22
Pershing Avenue & Telegraph Road,18
King Street & Quaker Lane,15
Mill Road & Telegraph Road,14
Duke Street & South Pickett Street,14
North Beauregard Street & West Braddock Road,14
South Washington & Wolfe Street,14
Duke Street & South Washington Street,14
Duke Street & West Taylor Run Parkway,13
North Washington Street & Madison Street,13
North Beauregard Street & Seminary Road,12
Duke Street & South Quaker Lane,12
