Calls for Service Miscellaneous,Number
2005-2006 Calls for Service Comparison,2.20%
2005 Calls for Service,"61,547"
2006 Calls for Service,"60,168"
2005-2006 Prowler Calls Comparison,-29.20%
2005-2006 Escort Calls Comparison,-33.9%
2005-2006 Auto Theft Comparison,-18.9%
2005-2006 Calls for Traffic Hazards Comparison,39.7%
2005-2006 Calls for Loud Parties and Radios Comparison,41.3%
2005-2006 Calls for Bomb Threats Comparison,33.3%
"
",
