Quality of Life Crimes Miscellaneous,Number
Quality of Life Crimes 2005-2006 Comparison,4.80%
2005-2006 Arrests Comparison,0.095
2005 Arrests,"6,049"
2006 Arrests,"6,624"
2005-2006 Part 1 Offenses Total Combined Adult and Juvenile Arrests,-15.10%
2005 Arrests,942
2006 Arrests,796
2005-2006 Adult Arrests Comparison,0.107
2005-2006 Juvenile Arrests Comparison,0.013
2005-2006 Juvenile Arrests for Drug/Alcohol Offenses,17.40%
2005 Juvenile Arrests for Drug/Alcohol Offenses,86
2006 Juvenile Arrests for Drug/Alcohol Offenses,104
2005-2006 Adult Arrests for Drug/Alcohol Offenses,0.071
2005 Adult Arrests for Drug/Alcohol Offenses,"2,307"
