Traffic Enforcement 2005-2006 Miscellaneous,Number
DWI Arrest Resulting from DWI Crackdowns,21
DWI Arrests 2006 Compared with 2005,18.4
2005 Arrests,413
2006 DWI Arrests,489
DWI Arrests - Juvenile,1
