Part 1 Crimes,Number
Part 1 Crimes 2005-2006 Comparison,-7.30%
"Violent Crime (Homicide, Rape, Robbery, and Aggravated Assualt) 2005-2006 Comparison",-4.00%
Violent Crime 2005,425
Violent Crime 2006,408
Rape Offenses Committed by a Person Unknown to the Victim,2
Property Crime Comparison 2005-2006,-7.70%
2005 Property Crime Cases,3583
2006 Property Crime Cases,3306
