Boating in Virginia Title,Boating in Virginia Fact
# of River Miles,"52,225 miles (source VDEQ)"
Coastline,132 miles (source VIMS)
Tidal Shore,"7,213 (source VIMS)"
Inland Lakes,"116,364 acres (source VDEQ)"
