Crime,Total,Every
Total Violent Crime,54,1 every 6 days 18 hours
Homicide ,1,1 every 365 days
Rape,18,1 every 20 days 6 hours
Robbery,9,1 every 40 days 13 hours
Aggravated Assault,26,1 every 14 days 0 hours
Total Property Crime,937,1 every 9 hours 20 minutes
Burglary,130,1 every 2 day 19 hours
Larceny,768,1 every 11 hours 24 minutes
Motor Vehicle Theft,31,1 every 11 days 18 hours
Arson,8,1 every 45 days 15 hours
Total Known Part I Crime ,991,1 every 8 hours 50 minutes
