GROUP A OFFENSES,2015,2014,% CHANGE
HOMICIDE,0,1,-100
RAPE,8,4,100
ROBBERY,10,14,-29
ASSAULT,296,320,-8
BURGLARY,30,68,-56
LARCENY,450,515,-13
AUTO LARCENY,11,15,-27
TOTAL,805,937,
CLEARANCE RATE,60%,0.58%,
