Offenses,Total,White,Black,American Indian/Alaskan Native,Asian/Pacific Islander
Murder/Nonnegligent Manslaughter  ,277,84,187,,6
Negligent Manslaughter,5,3,2,,
Kidnaping/Abduction  ,998,468,519,1,10
Forcible Rape,345,206,138,,1
Forcible Sodomy  ,202,120,80,,2
Sexual Assault with an Object,108,72,36,,
Forcible Fondling,625,422,196,,7
Robbery,1942,458,1479,,5
Aggravated Assault  ,4180,1966,2180,4,30
Simple Assault  ,40173,21922,17857,25,369
Intimidation  ,1502,912,579,,11
Arson,281,181,97,,3
Extortion/Blackmail  ,64,33,31,,
Burglary/Breaking & Entering  ,4638,2475,2136,5,22
Pocket Picking,380,202,171,1,6
Purse Snatching,22,13,9,,
Shoplifting  ,15433,8409,6848,9,167
Theft from Building,927,616,306,1,4
Theft from Coin-Operated Machine or Device,49,47,2,,
Theft from Motor Vehicle,495,328,165,,2
Theft of Motor Vehicle Parts or Accessories  ,121,82,38,,1
All Other Larceny  ,14918,8408,6300,3,207
Motor Vehicle Theft  ,1008,560,444,,4
Counterfeiting/Forgery,2173,1299,855,,19
False Pretenses/Swindle/Confidence Game,3145,1864,1235,2,44
Credit Card/Automatic Teller Machine Fraud  ,409,247,155,,7
Impersonation  ,818,406,408,,4
Welfare Fraud  ,70,34,35,,1
Wire Fraud,1,1,,,
Embezzlement  ,1625,884,720,,21
Stolen Property Offenses,1000,427,570,1,2
Destruction/Damage/Vandalism of Property,4788,2917,1825,1,45
Drug/Narcotic Violations,36408,20102,15947,15,344
Drug Equipment Violations  ,372,298,74,,
Incest,5,5,,,
Statutory Rape,137,91,46,,
Pornography/Obscene Material ,214,185,26,,3
Betting/Wagering  ,53,17,16,,20
Operating/Promoting/Assisting Gambling  ,17,7,7,,3
Gambling Equipment Violation,3,,3,,
Sports Tampering ,,,,,
Prostitution,477,236,227,1,13
Assisting or Promoting Prostitution,310,168,111,6,25
Bribery,9,7,2,,
Weapon Law Violations,3802,1989,1784,3,26
TOTAL  ,144529,79171,63846,78,1434
