Race,Victim,,Offenders,
,Male,Female,Male,Female
White,87282,72693,53696,25117
Black,29599,37002,51822,19534
American Indian/Alaskan Native,193,77,62,24
Asian/Pacific Islander ,2419,1935,902,402
Unknown Race,3924,3387,4753,1094
Total,123417,115094,111235,46171
Note:,Gender not reported for victims = 821.,,,
,Gender not reported for offenders = 52293.,,,
