Group B Offense Categories,Total,White,Black,American Indian/Alaskan Native,Asian/Pacific Islander
Bad Checks ,2271,1639,623,,9
Curfew/Loitering/Vagrancy Violations ,2237,1113,1108,1,15
Disorderly Conduct ,5356,2349,2966,3,38
Driving Under the Influence ,29858,22511,6737,23,587
Drunkenness ,33887,23986,9535,34,332
"Family Offenses, Nonviolent ",2216,731,1476,2,7
Liquor Law Violations ,12464,9220,3041,14,189
Peeping Tom ,58,41,17,,
Runaway,3512,1598,1868,2,44
Trespass of Real Property ,11201,4856,6231,12,102
Conspiracy to Commit Group A Offense ,108,53,55,,
All Other Offenses (except most traffic),107898,61034,45733,49,1082
Total ,211066,129131,79390,140,2405
