Location,Total Offenses
Air/Bus/Train Terminal,4
Bank/Savings and Loan,2
Bar/Night Club,3
Church/Synagogue/Temple,13
Commercial/Office Building,22
Construction Site,7
Convenience Store,7
Department/Discount Store,9
Drug Store/Dr Office/Hospital,3
Field/Woods,107
Government/Public Building,12
Grocery/Supermarket,2
Highway/Road/Alley,140
Hotel/Motel/Etc.,6
Jail/Penitentiary,4
Lake/Waterway,3
Liquor Store,0
Parking Lot/Garage,102
Rental Storage Facility,1
Residence/Home,540
Restaurant,4
School/College,90
Service/Gas Station,4
Specialty Store,3
Other/Unknown,79
Total,1167
