Race/Gender,Male,Female
White ,396,49
Black,210,65
Am.Ind./Alskn ,0,0
Asian/Pacfc Isl. ,6,0
Unknown Race ,13,1
TOTAL ,625,115
Note: Gender not reported = 271,,
