Time of Offense,Percentage of Robberies
6:00 a.m. - 11:59 a.m.,9.60%
Noon - 5:59 p.m.,18.50%
6:00 p.m. - 11:59 p.m.,45.70%
Midnight - 5:59 a.m.,25.80%
Unknown,0.40%
