Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
Cities,,,,
Alexandria PD,300,251,49,99
Bedford PD,24,22,2,3
Bristol PD,50,42,8,20
Buena Vista PD,15,15,,1
Charlottesville PD,117,104,13,27
Chesapeake PD,354,298,56,141
Clifton Forge PD,10,10,,2
Colonial Heights PD,48,44,4,4
Covington PD,17,15,2,11
Danville PD,129,106,23,7
Emporia PD,26,26,,11
Fairfax PD,65,58,7,17
Falls Church PD,30,23,7,8
Franklin PD,29,27,2,13
Fredericksburg PD,71,57,14,25
Galax PD,24,22,2,14
Hampton PD,277,231,46,97
Harrisonburg PD,87,83,4,17
Hopewell PD,59,55,4,14
Lexington PD,16,14,2,2
Lynchburg PD,160,145,15,27
Manassas PD,84,66,18,33
Manassas Park PD,30,28,2,12
Martinsville PD,50,47,3,5
Newport News PD,398,341,57,138
Norfolk PD,721,643,78,87
Norton PD,15,15,,9
Petersburg PD,117,100,17,46
Poquoson PD,21,18,3,1
Portsmouth PD,242,209,33,93
Radford PD,37,31,6,11
Richmond PD,727,616,111,158
Roanoke PD,256,227,29,44
Salem PD,64,60,4,28
Staunton PD,51,46,5,16
Suffolk PD,185,152,33,60
Virginia Beach PD,776,672,104,169
Waynesboro PD,43,33,10,12
Williamsburg PD,36,28,8,3
Winchester PD,76,64,12,24
CITY TOTAL,5837,5044,793,1509
