Colleges and Universities,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Christopher Newport University PD,,,198,0,1,0,0,1,1,24,1,0,2,108,0,0,2,1,2,44,25,0,0,0,0,0,4
Emory & Henry College PD,,,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferrum College PD,,,62,0,0,1,0,0,3,5,0,0,1,37,0,0,0,0,0,7,9,0,0,0,0,0,1
George Mason University PD,,,473,0,2,2,4,0,0,27,0,0,23,237,1,5,20,0,1,76,115,0,0,0,0,0,3
Hampton University PD,,,138,0,0,0,0,3,2,25,0,0,31,52,0,1,6,2,0,26,0,0,0,0,0,0,0
J. Sargeant Reynolds Community College PD,,,67,0,0,0,0,0,0,8,1,0,0,37,0,1,0,0,0,20,3,0,0,0,0,0,0
James Madison University PD,,,322,0,0,0,1,1,0,14,0,1,8,144,1,2,21,0,0,96,53,0,1,0,0,0,0
Longwood University PD,,,106,0,0,2,0,0,0,7,0,0,8,41,1,0,2,0,0,30,22,0,0,0,0,0,0
Lord Fairfax Community College PD,,,11,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0
Norfolk State University PD,,,246,0,0,1,0,4,2,16,3,0,24,129,3,1,6,2,0,53,9,0,1,0,0,0,0
N. Virginia Community College PD,,,173,0,0,0,0,1,1,5,0,0,3,118,0,1,0,0,0,43,3,0,0,0,0,0,1
Old Dominion University PD,,,415,0,0,0,1,4,1,58,0,0,12,210,6,5,5,3,3,89,24,0,0,0,0,0,5
Radford University PD,,,250,0,0,3,0,0,4,26,2,0,8,63,0,2,4,1,0,87,92,0,0,0,0,0,1
Richard Bland College PD,,,35,0,0,0,0,0,2,13,2,0,2,9,0,0,1,0,0,6,9,0,0,0,0,0,0
Thomas Nelson Community College PD,,,46,0,0,0,0,2,0,4,0,0,0,27,1,0,3,0,0,11,1,0,0,0,0,0,0
University of Mary Washington PD,,,167,0,0,0,3,3,3,4,3,0,1,66,0,0,2,0,0,76,9,0,0,0,0,0,0
University of Richmond PD,,,328,0,0,9,0,0,0,19,3,0,26,131,3,0,11,0,2,101,45,0,0,0,0,0,1
University of Virginia PD,,,479,0,0,2,3,1,0,70,0,0,54,213,16,3,12,1,0,93,33,0,1,0,0,0,4
UVA's College at Wise PD,,,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VA Commonwealth University PD,,,1111,0,2,1,6,9,8,163,1,0,12,503,2,13,44,2,32,102,264,0,0,0,0,0,38
Virginia Tech University PD,,,419,0,1,7,5,0,2,39,0,0,28,158,2,34,10,2,4,98,105,0,1,0,0,0,3
VA Western Community College PD,,,26,0,0,0,0,0,0,1,0,0,0,21,0,0,0,1,0,3,1,0,0,0,0,0,0
Virginia Military Institute PD,,,73,0,1,0,1,0,1,9,1,0,6,22,0,1,1,1,0,33,1,0,0,0,0,0,0
Virginia State University PD,,,171,0,0,0,0,1,5,28,0,0,4,84,6,2,2,0,1,33,27,0,0,0,0,0,3
William & Mary College PD,,,303,0,0,1,2,1,0,22,0,0,29,143,6,1,4,1,3,97,7,0,0,0,0,0,1
"0-11 For those agencies without full year submission, footnote represents number of months of data submitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,
