Month ,Stolen ,Recovered ,Percent Recovered
January ,"22,303,702","3,885,570",17.4
February,"18,755,429","3,120,277",16.6
March ,"25,397,254","3,677,663",14.5
April ,"21,624,432","4,054,001",18.7
May ,"22,593,611","3,631,029",16.1
June ,"26,495,759","4,278,294",16.1
July ,"24,881,067","5,413,076",21.8
August ,"26,885,883","4,669,801",17.4
September ,"22,703,531","4,477,532",19.7
October ,"29,334,719","4,001,921",13.6
November ,"21,600,347","4,095,293",19
December ,"26,404,798","2,927,558",11.1
TOTAL ,"$288,980,532","$48,232,015",16.7
