Offenses,18,19,20,21,22,23,24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 & Over,Total
Bad Checks,16,12,38,34,37,35,44,348,417,342,297,256,179,104,55,52,2266
Curfew/Loitering/Vagrancy ,6,5,4,4,9,13,7,22,21,22,17,51,38,19,3,1,242
Disorderly Conduct ,270,244,273,301,230,194,192,757,496,337,356,292,231,111,51,36,4371
Driving Under the Influence ,380,682,834,1280,1350,1350,1348,5664,4023,2976,2872,2563,2049,1215,672,423,29681
Drunkenness ,805,1024,1123,1769,1528,1218,1245,4763,3553,2846,3348,4147,3541,1741,706,321,33678
"Family Offenses, Nonviolent ",16,37,23,56,42,58,62,405,400,324,290,253,107,61,26,10,2170
Liquor Laws ,1988,2199,1975,308,225,194,166,592,436,361,494,583,533,340,156,70,10620
Peeping Tom ,0,1,1,6,0,4,2,12,12,4,3,5,2,0,2,1,55
Runaway*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trespass of Real Property ,650,642,553,536,439,419,362,1444,955,730,806,886,849,523,267,176,10237
Conspiracy to Commit Group A Offense,11,13,4,5,6,5,1,16,6,16,9,5,3,1,1,1,103
All Other Offenses (except most traffic),2920,3659,3972,4519,4365,4246,4055,17565,14020,10669,10029,9013,6531,3506,1790,1611,102470
TOTAL,7062,8518,8800,8818,8231,7736,7484,31588,24339,18627,18521,18054,14063,7621,3729,2702,195893
* This category does not apply to adult arrests. ,,,,,,,,,,,,,,,,,
