COUNTY SHERIFFS & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Accomack County SO,27386,4568.02,1251,6,1,11,19,16,26,340,1,0,145,392,27,16,32,8,1,209,42,0,0,0,0,0,12
State Police,,,107,0,0,0,0,0,0,2,3,0,3,10,3,0,6,0,1,3,81,0,0,0,0,0,7
Alleghany County SO,12296,3358.81,413,1,1,4,13,1,9,82,3,0,48,105,9,5,9,1,0,113,68,0,1,0,0,0,16
State Police,,,95,0,0,0,0,0,0,0,0,0,0,3,1,1,4,0,0,0,86,0,0,0,0,0,2
Amelia County SO,12841,2967.05,381,0,2,1,6,1,16,119,2,0,35,86,15,2,27,0,0,80,46,0,1,0,0,0,21
State Police,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Amherst County SO,30265,3578.39,1083,0,6,7,19,2,19,156,2,0,63,445,17,11,151,3,2,141,121,0,0,0,3,0,10
State Police,,,25,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,19,0,0,0,0,0,1
Appomattox County SO,15021,1477.93,222,1,1,2,4,1,9,31,1,0,27,94,6,3,4,3,0,19,30,0,0,0,0,0,3
State Police,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
Augusta County SO,73792,2108.62,1556,2,8,13,13,7,64,162,1,2,124,663,34,54,102,26,7,236,130,4,4,0,0,0,40
State Police,,,24,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,21,0,0,0,0,0,0
Bath County SO,4797,958.93,46,0,0,0,0,0,0,2,0,0,13,22,0,0,4,0,0,4,1,0,0,0,0,0,0
State Police,,,23,0,0,0,0,0,3,2,1,0,0,3,0,0,1,0,0,2,12,0,0,0,0,0,0
Bedford County SO,69379,2920.19,2026,1,5,8,19,4,31,799,2,0,269,532,32,13,106,8,1,324,137,1,20,0,0,0,29
State Police,,,41,0,0,0,0,0,5,0,2,0,0,15,2,2,11,1,0,1,7,0,0,0,0,0,0
Bland County SO,6748,1274.45,86,0,0,1,2,1,3,12,2,0,15,33,2,3,2,0,0,17,15,0,0,0,0,0,0
State Police,,,16,0,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,2,11,0,0,0,0,0,0
Botetourt County SO,33399,2383.3,796,0,0,2,8,3,19,198,4,0,61,220,13,10,38,12,1,106,157,3,5,0,0,0,21
State Police,,,30,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,27,0,0,0,0,0,1
Brunswick County SO,15962,1572.48,251,1,1,0,5,3,8,30,1,0,59,65,20,1,13,0,2,61,24,0,0,0,0,0,7
State Police,,,19,0,0,0,0,0,1,0,0,0,0,4,0,1,2,0,0,5,10,0,0,0,0,0,0
Buchanan County SO,22985,4150.53,954,3,4,7,13,1,17,273,0,1,132,331,31,21,43,1,24,128,57,2,7,0,0,0,18
State Police,,,64,2,0,0,1,0,5,7,2,1,4,21,5,8,8,0,0,3,16,0,0,0,0,0,1
Buckingham County SO,17143,3797.46,651,0,6,5,11,5,13,181,12,0,58,164,23,14,21,1,6,157,111,0,1,0,0,0,19
State Police,,,10,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,0,5,0,0,0,0,0,0
Campbell County SO,50197,3245.21,1629,1,7,6,27,7,35,356,2,0,149,616,35,25,82,3,2,285,93,0,9,0,1,0,35
State Police,,,46,0,0,0,0,0,0,0,0,0,2,5,2,1,7,0,0,0,25,0,0,2,0,0,6
Caroline County SO,27715,4557.09,1263,0,11,8,21,10,19,336,4,2,75,427,19,9,60,4,9,207,161,2,4,0,1,0,36
State Police,,,30,0,0,0,0,0,1,0,1,0,1,8,3,2,1,0,1,0,16,0,0,0,0,0,1
Carroll County SO,27067,3151.43,853,0,5,4,2,2,22,196,6,0,109,352,38,5,26,2,4,169,56,0,1,0,0,0,20
State Police,,,14,0,0,0,0,0,0,1,0,0,0,1,2,0,2,0,0,1,8,0,0,0,0,0,0
Charles City County SO,7290,1495.19,109,0,0,1,1,0,4,30,0,0,9,9,2,1,2,1,1,8,51,1,0,0,0,0,3
State Police,,,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Charlotte County SO,12565,2467.17,310,1,0,1,2,3,16,116,1,0,28,94,4,1,1,0,3,34,30,1,0,0,0,0,11
State Police,,,21,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,20,0,0,0,0,0,0
Clarke County SO,10026,3081.98,309,0,0,4,5,2,3,68,1,0,34,101,7,5,37,0,2,28,28,1,0,0,0,0,8
State Police,,,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0
Craig County SO,5241,1163.9,61,0,0,0,0,0,5,23,0,0,0,9,2,0,0,0,0,3,19,0,0,0,0,0,2
State Police,,,23,0,0,0,2,0,0,2,2,0,0,3,0,2,3,0,0,1,8,0,0,0,0,0,0
Culpeper County SO,30765,2753.12,847,2,7,6,11,3,25,307,1,0,64,205,27,12,47,11,2,151,84,1,1,0,1,0,22
State Police,,,90,0,0,0,0,0,4,2,3,0,0,2,2,0,4,0,0,0,73,0,0,0,0,0,0
Cumberland County SO,10100,1504.95,152,0,0,1,2,0,8,78,0,0,12,20,3,2,1,0,1,17,24,0,0,0,0,0,5
State Police,,,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0
Dickenson County SO,13850,3285.19,455,2,0,3,7,2,9,120,8,0,38,152,6,9,16,0,11,42,75,1,0,0,0,0,21
State Police,,,46,0,0,0,1,0,1,6,1,0,2,5,6,0,6,0,0,2,25,0,0,0,0,0,2
Dinwiddie County SO,28018,3494.18,979,1,8,7,36,6,30,134,1,1,131,322,30,14,65,4,2,151,174,0,0,0,0,0,32
State Police,,,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,29,0,0,0,0,0,0
Essex County SO,8912,2120.73,189,1,0,2,1,1,9,52,1,0,35,39,9,2,5,0,4,38,17,1,0,0,0,0,7
State Police,,,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
Fauquier County SO,55571,3591.8,1996,1,9,11,31,7,19,450,4,0,115,544,29,36,156,6,3,385,420,1,9,0,0,0,37
State Police,,,123,0,0,0,0,0,1,1,0,0,1,1,3,1,2,0,2,1,111,0,0,0,0,0,2
Floyd County SO,15484,2098.94,325,0,0,2,5,0,8,61,0,0,38,142,6,3,4,0,0,54,20,0,4,0,0,0,7
State Police,,,41,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,39,0,0,0,0,0,1
Fluvanna County SO,25989,2270.19,590,0,1,2,6,2,9,187,2,0,38,159,16,5,39,5,1,102,63,1,0,0,0,0,9
State Police,,,13,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,1,0,8,0,0,0,0,0,0
Franklin County SO,51501,2157.23,1111,2,3,4,14,5,28,134,1,0,120,476,45,15,40,9,8,210,96,1,4,0,0,0,28
State Police,,,50,0,0,0,1,0,1,1,0,0,0,2,3,1,15,0,1,0,26,0,0,0,0,0,0
Frederick County SO,76062,4429.28,3369,2,5,35,71,13,31,1003,5,0,339,1104,81,73,131,18,7,629,329,4,11,0,0,0,58
State Police,,,171,0,0,0,0,0,0,0,1,0,0,10,3,1,0,1,0,6,150,0,0,0,0,0,3
Giles County SO,10447,4498.89,470,1,0,1,12,0,22,81,1,0,43,131,8,5,14,0,2,52,151,0,1,0,1,0,14
State Police,,,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,3,0,0,0,0,0,0
Gloucester County SO,36987,3238.97,1198,8,7,3,4,7,18,421,4,0,76,450,19,7,57,10,2,108,102,1,8,0,0,0,16
State Police,,,79,0,0,0,0,0,1,0,0,0,0,3,0,0,8,0,0,1,66,0,0,0,0,0,2
Goochland County SO,21753,2243.36,488,0,2,0,2,3,29,107,0,1,46,161,12,6,44,3,0,93,57,0,1,0,0,0,14
State Police,,,34,0,0,0,1,0,0,6,0,0,0,7,1,1,0,0,0,2,20,0,0,0,0,0,0
Grayson County SO,14523,2829.99,411,0,4,5,13,0,13,90,2,0,35,131,7,6,14,2,0,71,56,0,2,0,0,0,23
State Police,,,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0
