Circumstances of Aggravated Assaults,Number
Argument,3572
Assault on Law Officer,339
Drug Dealing,52
Gangland,40
Juvenile Gang,18
Lover's Quarrel,361
Other Felony Involved,59
Other Circumstances,1642
Unknown Circumstances,2851
(Up to 2 circumstances can be reported for each victim.),
