Relationship of Victim to Offender (may include multiple relationships),Total
Spouse,97
Common-Law Spouse,6
Parent,5
Sibling,172
Child,293
Grandparent,0
Grandchild,108
In-Law,23
Stepparent,40
Stepchild,151
Stepsibling,51
Other Family Member,340
Acquaintance,1218
Friend,294
Neighbor,73
Babysittee (the baby),28
Boyfriend/Girlfriend,246
Child of Boyfriend/Girlfriend,53
Homosexual Relationship,10
Ex-Spouse,15
Employee,27
Employer,8
Otherwise Known,509
Stranger,334
Unknown Relationship,714
Total,4815
