TOWNS,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Abingdon PD ,8191,7044.31,577,0,0,2,2,5,5,89,1,0,30,247,11,15,39,6,0,87,70,0,1,0,0,0,5
Altavista PD ,3450,6376.81,220,0,2,1,8,0,8,48,0,0,11,105,3,4,11,1,1,33,10,0,0,0,0,0,2
Amherst PD ,2231,3137.6,70,0,3,0,0,1,0,26,0,0,5,21,2,0,2,0,0,10,12,0,0,0,0,0,0
Appalachia PD ,1754,12941.84,227,0,1,5,3,0,4,72,0,0,30,74,3,1,4,0,0,36,36,0,0,0,0,0,1
Ashland PD ,7225,8152.24,589,0,4,2,3,0,17,206,0,0,30,191,18,16,39,8,2,90,125,1,1,0,2,0,10
Berryville PD ,4185,2962.96,124,0,1,0,0,0,4,24,0,0,9,38,1,3,3,0,0,48,7,0,0,0,0,0,1
Big Stone Gap PD ,5614,6946.91,390,0,0,2,0,2,7,91,2,0,30,194,9,4,8,0,2,66,22,0,0,0,0,0,4
Blacksburg PD ,42620,3498.35,1491,0,2,9,9,5,10,277,3,1,85,493,16,17,68,5,5,502,127,0,1,0,1,0,12
Blackstone PD ,3621,7180.33,260,0,1,1,3,1,8,67,0,0,19,73,1,5,12,2,0,58,31,1,0,0,0,0,3
Bloxom PD6 ,387,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bluefield PD ,5444,6520.94,355,0,0,0,2,3,6,35,0,0,19,167,6,19,27,3,4,34,58,0,1,0,0,0,15
Bowling Green PD ,1111,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boykins PD ,564,4609.92,26,0,0,0,0,0,1,3,0,0,3,4,0,0,1,0,0,16,0,0,0,0,0,0,0
Bridgewater PD ,5644,1240.25,70,0,0,1,0,0,0,5,0,0,5,30,2,2,4,0,0,9,16,0,0,0,0,0,3
Broadway PD ,3691,704.41,26,0,0,0,0,0,0,6,0,0,5,11,0,2,0,0,0,1,1,0,0,0,0,0,1
Brookneal PD ,1112,4226.61,47,0,0,0,0,1,0,8,1,0,2,21,1,1,4,1,1,3,3,0,0,0,0,0,0
Burkeville PD ,432,3009.25,13,0,0,0,0,0,2,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Cape Charles PD ,1009,2378.59,24,0,0,0,0,0,0,3,0,0,2,14,1,0,1,0,0,1,3,0,0,0,0,0,0
Cedar Bluff PD ,1137,3078.27,35,0,0,1,0,0,1,1,0,0,3,15,3,2,2,0,0,1,8,0,0,0,0,0,0
Chase City PD ,2351,7145.89,168,0,2,3,1,2,8,35,0,0,10,67,3,1,6,0,0,30,12,0,0,0,0,0,4
Chatham PD ,1269,2127.65,27,0,0,0,0,0,0,2,0,0,0,13,1,0,2,0,0,8,0,0,0,0,0,0,1
Chilhowie PD ,1781,4042.67,72,0,1,0,0,1,0,11,1,0,4,35,1,4,2,0,1,6,9,0,0,0,0,0,2
Chincoteague PD ,2941,5338.32,157,0,0,1,3,0,3,27,0,0,15,56,3,3,11,0,1,9,37,0,0,0,0,0,1
Christiansburg PD ,21041,8065.2,1697,0,4,7,23,5,17,480,4,0,91,620,19,27,131,25,7,193,252,1,17,0,0,0,36
Clarksville PD ,1139,3424.05,39,0,2,1,0,0,2,3,0,0,2,20,2,1,1,1,0,7,1,0,0,0,0,0,0
Clifton Forge PD ,3884,4969.1,193,0,3,0,1,1,7,55,2,0,30,71,1,1,6,0,0,38,19,0,0,0,0,0,4
Clintwood PD ,1414,3394.62,48,0,0,0,0,0,1,10,0,0,1,20,1,0,2,6,1,5,5,0,0,0,0,0,1
Coeburn PD0 ,2139,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,-,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,-
Colonial Beach PD ,3542,4968.94,176,0,0,1,0,0,6,24,0,0,10,81,21,0,0,1,1,25,19,0,0,0,0,0,1
Crewe PD ,2326,8684.43,202,0,1,0,2,0,6,29,0,0,17,65,0,2,2,0,0,49,47,0,2,0,0,0,6
Culpeper PD ,16379,8211.73,1345,1,5,3,18,14,42,444,3,3,37,387,17,70,99,23,1,201,172,1,0,0,0,0,19
