Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
OTHER AGENCIES,,,,
"Alcoholic Bev. Control, Dept. ",109,88,21,26
"Capitol Police, Division ",77,66,11,12
"Conservation & Rec., Dept. ",101,91,10,139
"Game&Inland Fisheries, Dept ",172,162,10,19
"Motor Vehicles, Dept. ",72,66,6,16
"Virginia State Police, Dept. ",1849,1750,99,677
Metro. Wash.Airport Auth. ,211,167,44,92
Norfolk Airport Authority ,37,33,4,7
Richmond Int'l Airport ,25,20,5,8
Southside Va. Trng Center ,17,16,1,1
Virginia Port Authority ,71,63,8,7
OTHER AGENCY TOTAL ,2741,2522,219,1004
