COUNTY TOTAL ,9161,8091,1070,2205
OTHER AGENCY TOTAL ,2741,2522,219,1004
CITY TOTAL,5837,5044,793,1509
COLLEGE AND UNIVERSITY TOTAL,613,506,107,373
STATE TOTAL,18380,16199,2181,5010
