,18,19,20,21,22,23,24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 & Over,Total
Murder/Nonnegligent Manslaughter,22,17,13,24,10,12,9,41,38,23,16,11,20,6,2,1,265
Negligent Manslaughter ,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,5
Kidnaping/Abduction ,33,48,42,55,50,47,40,192,150,98,71,61,51,22,10,8,978
Forcible Rape ,14,20,12,10,9,9,9,54,40,27,32,28,12,9,3,9,297
Forcible Sodomy ,9,6,7,8,4,4,2,30,15,13,12,17,8,8,3,3,149
Sexual Assault with an Object ,5,2,3,4,1,0,3,11,14,11,9,6,9,6,3,4,91
Forcible Fondling ,24,17,14,18,20,14,12,58,60,54,54,42,37,26,29,30,509
Robbery ,214,185,134,139,96,74,61,241,138,84,71,64,40,18,4,2,1565
Aggravated Assault ,159,186,205,191,170,175,144,644,472,337,325,290,232,108,53,42,3733
Simple Assault ,1144,1312,1371,1612,1595,1482,1398,6261,4980,3818,3477,3089,2094,1078,504,413,35628
Intimidation ,39,46,49,48,64,29,52,223,186,139,145,117,90,59,13,18,1317
Arson ,14,12,3,4,7,9,5,24,19,9,13,14,5,6,2,0,146
Extortion/Blackmail ,4,2,1,1,4,0,1,13,5,8,5,1,1,0,0,1,47
Burglary/Breaking and Entering ,445,387,286,268,184,179,168,637,412,234,174,206,105,44,12,5,3746
Pocket Picking ,23,29,23,21,22,12,12,53,28,27,31,27,16,15,5,2,346
Purse Snatching ,3,1,1,2,4,0,1,0,2,3,2,2,0,0,0,0,21
Shoplifting ,1354,1065,904,798,670,584,528,1981,1393,992,899,811,615,285,152,95,13126
Theft from Building ,66,40,40,48,44,39,30,132,91,63,56,52,48,15,12,1,777
Theft from Coin-Operated Machine or Device,0,0,0,1,2,7,1,1,6,22,4,3,0,2,0,0,49
Theft from Motor Vehicle ,38,63,33,22,22,19,11,34,47,22,20,14,14,5,1,1,366
Theft of Motor Vehicle Parts ,9,9,9,6,2,7,3,11,14,16,8,6,2,0,0,0,102
All Other Larceny ,967,862,809,710,556,515,510,2004,1503,1119,1040,922,639,330,138,95,12719
Motor Vehicle Theft ,76,58,47,41,39,23,31,137,102,80,78,62,31,12,6,1,824
Counterfeiting/Forgery ,62,119,110,98,103,88,90,465,327,228,162,126,89,32,18,7,2124
False Pretenses/Swindle/Confidence Game ,81,116,106,111,113,102,122,578,482,378,332,246,155,63,45,28,3058
Credit Card/Automatic Teller Machine Fraud ,14,26,12,26,25,17,16,92,35,40,27,32,13,4,2,0,381
Impersonation ,29,50,78,34,37,34,31,173,106,62,55,52,28,5,4,4,782
Welfare Fraud ,0,0,1,2,3,0,1,16,15,16,9,5,2,0,0,0,70
Wire Fraud ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Embezzlement ,83,126,115,113,80,72,68,231,180,175,134,101,64,34,15,8,1599
Stolen Property Offenses ,74,81,63,66,41,48,36,139,87,60,51,54,20,19,4,6,849
Destruct/Damage/Vandalism ,386,298,252,260,189,192,168,632,414,268,261,214,141,66,39,26,3806
Drug/Narcotic Violations ,2687,2778,2644,2323,2080,1821,1625,6150,3822,2420,1824,1568,1055,547,242,90,33676
Drug Equipment Violations ,24,34,17,22,16,12,14,60,43,34,13,23,16,8,2,1,339
Incest ,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,5
Statutory Rape ,33,19,11,15,8,8,4,10,7,2,4,0,1,0,0,0,122
Porno./Obscene Material ,7,9,5,3,7,8,6,32,18,19,8,14,16,9,7,3,171
Betting/Wagering ,1,1,2,0,3,3,1,8,9,7,8,2,2,3,1,1,52
Operating/Promoting/,,,,,,,,,,,,,,,,,
Assisting Gambling ,0,0,0,1,1,0,0,2,5,0,0,2,3,2,1,0,17
Gambling Equip. Violations ,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3
Sports Tampering ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prostitution ,8,19,14,20,20,9,12,66,68,52,58,62,34,22,3,6,473
Assisting/Promoting Prostitution ,3,8,6,10,10,16,9,57,37,42,44,25,21,11,6,5,310
Bribery ,0,0,0,0,0,0,0,2,2,1,2,0,1,1,0,0,9
Weapon Law Violations ,174,177,168,211,188,198,143,602,379,255,230,198,199,117,81,94,3414
TOTAL ,8328,8228,7611,7347,6499,5868,5378,22098,15752,11261,9765,8570,5929,2999,1422,1012,128067
