,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Arson,77,108,93,89,106,87,102,122,97,101,106,79
"Assault, Aggrav.",560,553,641,689,722,695,772,671,609,630,572,585
"Assault, Other ",6768,6101,7145,7310,8078,7529,7479,7399,7082,7291,6520,6643
Bribery,2,1,2,4,5,2,2,2,0,1,2,2
Burglary,2499,1801,2183,2282,2435,2515,2646,3018,2623,2747,2799,2890
Counterfeiting ,523,444,596,576,705,687,597,593,636,543,600,574
Destruction ,5577,4923,5647,6348,6566,6934,7102,7090,5827,6111,5884,5884
Drug,4076,4298,4968,4697,4361,4149,4142,4176,3912,3994,3925,3952
Embezzlement ,243,222,195,228,233,272,243,249,242,219,229,263
Extortion ,7,5,13,4,12,15,11,12,7,8,11,8
Fraud,2133,2038,2236,2332,2408,2351,2180,2210,2079,2076,1936,2061
Gambling,13,22,16,9,10,14,14,19,17,11,4,7
"Homicide, Murder",23,15,26,25,24,21,31,27,19,20,22,25
"Homicide, Neg. ",1,1,0,0,0,2,2,1,1,2,0,0
Kidnaping,98,103,94,112,106,108,121,126,113,104,98,99
Larceny,11003,9413,10958,11930,12806,13015,13500,13462,12288,12117,11666,12333
MV Theft,773,618,642,758,838,930,922,973,878,801,724,759
Pornography ,75,62,71,84,60,53,39,51,51,40,51,46
Prostitution ,55,96,93,40,78,98,62,86,56,108,97,81
Robbery,455,330,347,437,489,483,459,482,454,490,475,550
"Forcible Sex, Rape",139,113,110,120,131,144,152,129,140,116,129,104
"Forcible Sex, Other ",293,257,273,296,303,265,261,254,278,273,251,237
Nonforcible Sex,13,16,22,24,26,15,19,13,12,19,18,9
Stolen Property,139,121,140,123,137,113,124,136,120,122,83,96
Weapon Laws,745,681,762,761,831,737,717,763,730,742,825,768
Group A Offenses,36290,32342,37273,39278,41470,41234,41699,42064,38271,38686,37027,38055
Group A Incidents,33118,29686,34036,36007,37992,37735,38313,38562,35208,35499,33865,34861
"Assaults, Other includes simple assaults and intimidation.",,,,,,,,,,,,
"Forcible Sex, Other: includes forcible sodomy, forcible sexual assault with object, and forcible fondling.",,,,,,,,,,,,
Nonforcible Sex includes incest and statutory rape.,,,,,,,,,,,,
"These crime counts represent offenses reported in an incident, not victims of each offense.",,,,,,,,,,,,
