Cities and State Police,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Alexandria PD ,143464,4370.43,6270,1,30,14,5,129,109,1218,6,1,308,2612,371,49,317,34,107,1276,611,0,4,1,29,0,37
State Police,,,15,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,12,0,0,0,0,0,0
Bedford PD ,6137,11487.69,705,0,4,5,10,1,10,193,0,0,36,185,10,10,43,4,3,117,121,0,5,0,0,0,20
State Police,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bristol PD ,17780,8740.15,1554,1,5,8,20,14,35,356,1,0,106,535,22,88,90,8,3,247,156,1,2,0,0,0,28
State Police,,,7,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0
Buena Vista PD0 ,6881,,- ,- ,- ,- ,- ,- ,- ,- ,- ,-,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,-
State Police,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlottesville PD ,44471,8470.68,3767,1,17,28,46,60,98,1039,5,0,119,1265,98,36,152,25,2,818,414,0,26,0,3,0,50
State Police,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0
Chesapeake PD ,225898,7097,16032,12,88,46,109,248,592,4703,21,5,1252,5780,312,239,1003,106,47,1962,1985,4,8,4,16,2,282
State Police,,,53,0,0,0,0,0,2,1,0,1,0,5,15,2,10,0,0,1,19,0,0,0,0,0,1
Colonial Heights PD ,17556,9740.25,1710,2,6,5,29,8,18,284,3,0,59,844,29,63,88,38,12,166,213,1,5,0,0,0,33
State Police,,,26,0,0,0,0,0,2,0,0,0,0,1,0,0,15,0,0,0,8,0,0,0,0,0,1
Covington PD ,6092,6385.42,389,1,6,1,2,7,14,132,0,0,25,113,3,3,8,4,0,92,23,0,0,0,0,0,8
State Police,,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0
Danville PD ,43332,12041.9,5218,7,19,28,29,65,68,1307,9,2,467,1552,72,86,250,25,1,826,723,0,7,1,11,1,155
