Day/Time,00:00-03:59,04:00-07:59,08:00-11:59,12:00-15:59,16:00-19:59,20:00-23:59,Unk
Monday ,5206,2824,8036,9364,10245,7592,1046
Tuesday,4881,2670,7780,9016,10211,7759,1010
Wednesday ,4940,2757,7552,8973,9947,7675,930
Thursday ,4939,2713,7599,9038,10171,7704,913
Friday ,5627,2807,8011,10197,11849,8891,1076
Saturday ,6846,2135,6436,8967,9456,9275,859
Sunday ,6314,1938,4912,7365,8044,7420,684
Total,38753,17844,50326,62920,69923,56316,6518
