Calendar Year,Civil Papers Served
2001,"21,340"
2002,"21,033"
2003,"19,291"
2004,"19,792"
2005,"19,115"
2006,"18,507"
2007,"19,487"
2008,"19,428"
2009,"21,132"
2010,"21,359"
2011,"23,560"
2012,"21,520"
2013,"20,833"
2014,"19,593"
