Name: “Table 1 of 1 on page 3 of 141”,Name: “Table 1 of 1 on page 3 of 141”
Table: 3,Table: 3
,
Funded by the National Institute of Justice,Funded by the National Institute of Justice
© Copyright 2002,© Copyright 2002
National Center for State Courts,National Center for State Courts
ISBN 0-89656-217-4,ISBN 0-89656-217-4
This report was developed under a grant from the National Institute of Justice (Grant 98-CE-,This report was developed under a grant from the National Institute of Justice (Grant 98-CE-
VX-0009).,The opinions and points of view in this report are those of the authors and do not
necessarily represent the official position or policies of the National Institute of Justice or the,necessarily represent the official position or policies of the National Institute of Justice or the
Virginia Criminal Sentencing Commission.,Virginia Criminal Sentencing Commission.
