ST,County,StateFIPS,CountyFIPS,Population,Deaths,Med_Cost,Work_Cost,U_C_Rate
VA,ACCOMACK,51,1,242439,21,13525.72647,3394642.694,8.661972702
VA,ALBEMARLE,51,3,664150,,,,
VA,ALLEGHANY,51,5,115279,,,,
VA,AMELIA,51,7,86199,,,,
VA,AMHERST,51,9,225345,,,,
VA,APPOMATTOX,51,11,101117,,,,
VA,ARLINGTON,51,13,1361165,22,13943.62392,3743388.074,1.61626254
VA,AUGUSTA,51,15,504934,22,6738.800237,2908766.264,4.357005074
VA,BATH,51,17,33735,,,,
VA,BEDFORD,51,19,466812,,,,
VA,BLAND,51,21,48169,,,,
VA,BOTETOURT,51,23,227835,,,,
VA,BRUNSWICK,51,25,124528,,,,
VA,BUCHANAN,51,27,173344,,,,
VA,BUCKINGHAM,51,29,116966,,,,
VA,CAMPBELL,51,31,375678,,,,
VA,CAROLINE,51,33,188528,,,,
VA,CARROLL,51,35,209268,,,,
VA,CHARLES CITY,51,36,50118,,,,
VA,CHARLOTTE,51,37,88394,,,,
VA,CHESTERFIELD,51,41,2115329,100,53398.10976,16562534.87,4.727397015
VA,CLARKE,51,43,97172,,,,
VA,CRAIG,51,45,36128,,,,
VA,CULPEPER,51,47,310148,,,,
VA,CUMBERLAND,51,49,67960,,,,
VA,DICKENSON,51,51,111949,,,,
VA,DINWIDDIE,51,53,189170,,,,
VA,ESSEX,51,57,75173,,,,
VA,FAIRFAX,51,59,7268182,154,101418.052,23790463.45,2.118824212
VA,FAUQUIER,51,61,446556,,,,
VA,FLOYD,51,63,104074,,,,
VA,FLUVANNA,51,65,174269,,,,
VA,FRANKLIN,51,67,377636,,,,
VA,FREDERICK,51,69,516331,,,,
VA,GILES,51,71,119766,,,,
VA,GLOUCESTER,51,73,254685,,,,
VA,GOOCHLAND,51,75,143570,,,,
VA,GRAYSON,51,77,111783,,,,
VA,GREENE,51,79,124400,,,,
VA,GREENSVILLE,51,81,84407,,,,
VA,HALIFAX,51,83,254324,,,,
VA,HANOVER,51,85,687519,,,,
VA,HENRICO,51,87,2066495,120,45057.46439,20588287.46,5.806933963
VA,HENRY,51,89,386208,38,34026.98071,5338541.953,9.839257602
VA,HIGHLAND,51,91,16895,,,,
VA,ISLE OF WIGHT,51,93,238257,,,,
VA,JAMES CITY,51,95,436313,,,,
VA,KING AND QUEEN,51,97,48148,,,,
VA,KING GEORGE,51,99,153478,,,,
VA,KING WILLIAM,51,101,105730,,,,
VA,LANCASTER,51,103,80446,,,,
VA,LEE,51,105,177496,,,,
VA,LOUDOUN,51,107,1948648,23,12938.74954,2978438.946,1.180305525
VA,LOUISA,51,109,219547,,,,
VA,LUNENBURG,51,111,90813,,,,
VA,MADISON,51,113,92726,,,,
VA,MATHEWS,51,115,63012,,,,
VA,MECKLENBURG,51,117,229028,,,,
VA,MIDDLESEX,51,119,75060,,,,
