Working Grant-Funded Directed Patrol Activities,Total
Extra-duty Hours Worked,212
Checkpoints,1
"Saturation Patrols Enforcing Speed Limits, Occupant Protection Laws and Other Moving Violations",121
Traffic Citations Issued,111
Arrests,3
