Type of Crime ,2012,2013,2014
Murder & Attempts ,0,0,1
Rape & Attempts ,20,16,23
Robbery ,11,4,3
Aggravated Assaults ,12,16,14
Burglary ,79,85,69
Larceny-Theft ,366,412,341
Motor Vehicle Theft ,18,15,15
Arson ,7,9,1
