Date,Street Address,Number,Notes
6/1/2014,Garrett Dr.,1,
6/2/2014,Garrett Dr.,1,
6/2/2014,Sandy Lakes Dr.,1,
6/2/2014,Garrett Dr.,1,
6/2/2014,Friendly Dr.,2,
6/2/2014,Todds Lane,1,DOA
6/2/2014,E. Pembroke,7,
6/3/2014,W. Mercury Blvd./I 64 Off Ramp,1,DOA
6/3/2014,W. Mercury Blvd.,2,
6/3/2014,Ridgeway Ave.,1,
6/3/2014,Ridgeway Ave.,1,
6/3/2014,Whealton Rd.,6,
6/4/2014,E. Little Back River Rd.,5,
6/4/2014,Whealton Rd.,1,
6/5/2014,Todds Lane/Big Bethel Rd.,1,DOA
6/5/2014,Garrett Dr.,1,
6/5/2014,Rockwell Rd.,2,
6/5/2014,Debbie Ct.,2,
6/6/2014,Aberdeen Rd./ W. Pembroke,1,DOA
6/6/2014,Debbie Ct.,1,
6/6/2014,Willow Rd.,1,
6/7/2014,Fox Hill Rd.,1,DOA
6/9/2014,Diggs Dr.,3,
6/9/2014,W. Sewell St.,4,
6/9/2014,Leicester Ter.,5,
6/9/2014,Mansford Dr.,3,
6/9/2014,Sandy Lakes Dr.,1,
6/9/2014,Enterprise Pkwy.,1,
6/9/2014,Chapel St.,1,
6/10/2014,Kecoughton Rd.,1,
6/10/2014,Columbia Ave.,3,
6/10/2014,Unknown- Emergency Vet Clinic,1,
6/10/2014,Ridgeway Ave.,1,
6/13/2014,Old Buckroe Rd.,1,DOA
