Group A Offense,Total
Other Non-Traffic,1294
D.U.I.,317
Drunkeness,179
Liquor Laws Vio,85
Bad Checks,59
Real Prop Trespass,45
Disorderly Conduct,22
Nonforc Fam Off,12
Curfew/Loit/Vagr,2
Runaway,1
Peeping Tom,1
Conspiracy,0
