Crime,Total,Percentage
Larceny,9929,70%
Stolen Vehicle,827,6%
Arson,47,0%
Homicide,34,0%
Rape,71,1%
Robbery,510,4%
Aggravated Assault,662,5%
Burglary,2026,14%
