Calendar Year,Population,Total number of Crime Incidents,"Incident rate per 100,000",Total Arrests (Adult)
"1,999","57,500","2,788","4,848.69","1,461"
"2,000","56,297","2,436","4,327.10","1,085"
"2,001","58,700","2,758","4,698.46","1,137"
"2,002","58,800","2,392","4,068.02","1,074"
"2,003","60,400","2,463","4,077.81",959
"2,004","61,500","2,833","4,606.50","1,116"
"2,005","61,500","2,840","4,617.88","1,030"
2006,"63,139","2,622","4,152.74",942
2007,"63,184","2,960","4,684.73","1,226"
