Calendar Year,2009,2010,2011,2012,2013
"Civil Process (Subpoenas, Custody Orders, etc.)","3,131","3,073","3,353","3,389","3,391"
Calls for Service (Sheriff’s Office),"10,782","11,795","12,221","11,981","9,250"
Motor Vehicle Accidents with Property Damage,274,277,222,336,227
Motor Vehicle Accidents with Personal Injury,110,103,37,91,47
Traffic Stops,"3,791","5,358","5,645","3,691","4,132"
Calls for Service (911 Emergency Services),"20,057","20,477","24,452","17,775","16,121"
