Civil Process,Total
"Total civil process served January 1, 2014 to December 31, 2014","18,689"
"Total civil process served by Lt. Gerald Lacy, Sgt. Terry Cook, Deputy Devon Tweedy, Deputy John Wingfield","13,840"
"Total EPO, PPO, and OOP (includes all protective orders)","2,246"
Writ of Possession served,285
Levies served,47
