Arrests by Offense,Pulaski,
,Adult,Juvenile
Murder,,
Manslaughter,,
Forcible Rape,3,
Robbery,2,
Aggravated Assault,18,4
Burglary,10,
Larceny,117,4
Motor Vehicle Theft,1,2
Arson,,
SUBTOTAL FOR PART I OFFENSES,151,10
Other Assaults,146,4
Forgery & Counterfeiting,13,
Fraud,8,
Embezzlement,,
"Stolen Property: Buy, Receiving, Poss.",,1
Vandalism,10,1
"Weapons: Possessing, Etc.",24,
Prostitution & Commercialized Vice,,
Sex Offenses (except Rape & Prostitution),1,1
Narcotic Drug Laws: Sale/Manufacture,28,
Narcotic Drug Laws: Possession,45,4
Gambling,1,
Offenses Against the Family,,
Driving Under the Influence,140,4
Liquor Laws,24,7
Public Drunkenness,421,4
Disorderly Conduct,32,1
All Other (except Traffic),809,18
Curfew & Loitering,,
"Runaways, Juveniles Apprehended",810,
SUBTOTAL FOR PART II OFFENSES,"1,701",45
TOTAL,"1,852",55
